year,stream,count,data_type,lower_bound_estimate,upper_bound_estimate,confidence_level
2007,mill creek,1060,upstream_estimate,NA,NA,NA
2008,mill creek,381,upstream_estimate,NA,NA,NA
2009,mill creek,242,upstream_estimate,NA,NA,NA
2010,mill creek,206,upstream_estimate,NA,NA,NA
2011,mill creek,210,upstream_estimate,NA,NA,NA
2012,mill creek,768,upstream_estimate,NA,NA,NA
2013,mill creek,644,upstream_estimate,NA,NA,NA
2014,mill creek,679,upstream_estimate,NA,NA,NA
2015,mill creek,127,upstream_estimate,NA,NA,NA
2016,mill creek,175,upstream_estimate,NA,NA,NA
2017,mill creek,99,upstream_estimate,NA,NA,NA
2018,mill creek,51,upstream_estimate,NA,NA,NA
2019,mill creek,80,upstream_estimate,NA,NA,NA
2020,mill creek,73,upstream_estimate,NA,NA,NA
2021,mill creek,718,upstream_estimate,NA,NA,NA
2022,mill creek,233,upstream_estimate,NA,NA,NA
2023,mill creek,9,upstream_estimate,NA,NA,NA
2024,mill creek,15,upstream_estimate,NA,NA,NA
2025,mill creek,61,upstream_estimate,NA,NA,NA
2007,mill creek,988,redd,NA,NA,NA
2008,mill creek,388,redd,NA,NA,NA
2009,mill creek,254,redd,NA,NA,NA
2010,mill creek,482,redd,NA,NA,NA
2011,mill creek,392,redd,NA,NA,NA
2012,mill creek,582,redd,NA,NA,NA
2013,mill creek,1288,redd,NA,NA,NA
2014,mill creek,504,redd,NA,NA,NA
2015,mill creek,124,redd,NA,NA,NA
2016,mill creek,106,redd,NA,NA,NA
2017,mill creek,276,redd,NA,NA,NA
2018,mill creek,152,redd,NA,NA,NA
2019,mill creek,194,redd,NA,NA,NA
2020,mill creek,86,redd,NA,NA,NA
2021,mill creek,620,redd,NA,NA,NA
2022,mill creek,250,redd,NA,NA,NA
2023,mill creek,34,redd,NA,NA,NA
2024,mill creek,18,redd,NA,NA,NA
2025,mill creek,246,redd,NA,NA,NA
1996,mill creek,253,redd,NA,NA,NA
1997,mill creek,257,redd,NA,NA,NA
1998,mill creek,485,redd,NA,NA,NA
1999,mill creek,642,redd,NA,NA,NA
2000,mill creek,622,redd,NA,NA,NA
2001,mill creek,1264,redd,NA,NA,NA
2002,mill creek,1711,redd,NA,NA,NA
2003,mill creek,1530,redd,NA,NA,NA
2004,mill creek,1070,redd,NA,NA,NA
2005,mill creek,1234,redd,NA,NA,NA
2006,mill creek,1075,redd,NA,NA,NA
