metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,2495296
DS_Tim,1,likely_unaltered,none_found,FALSE,2495296
DS_Mag_50,-1,likely_altered,high,FALSE,2495296
DS_Mag_90,1,likely_unaltered,none_found,FALSE,2495296
FA_Mag,1,likely_unaltered,none_found,TRUE,2495296
FA_Tim,1,likely_unaltered,none_found,TRUE,2495296
SP_Dur,1,likely_unaltered,none_found,TRUE,2495296
SP_Mag,-1,likely_altered,low,FALSE,2495296
SP_Tim,-1,likely_altered,late,FALSE,2495296
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,2495296
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,2495296
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,2495296
Wet_Tim,0,indeterminate,unknown,TRUE,2495296
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,2495296
Peak_Dur_5,1,likely_unaltered,none_found,FALSE,2495296
Peak_10,-1,likely_altered,low,FALSE,2495296
Peak_2,-1,likely_altered,low,FALSE,2495296
Peak_5,-1,likely_altered,low,FALSE,2495296
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,2495296
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,2495296
