comid,metric,p10,p25,p50,p75,p90,source,result_type
2496048,Peak_Dur_2,1,1,4,10,29,inferred,predicted
2496048,Peak_Dur_5,1,1,2,3,6,inferred,predicted
2496048,Peak_Fre_2,1,1,2,3,5,inferred,predicted
2496048,Peak_Fre_5,1,1,1,2,3,inferred,predicted
2496048,Peak_10,5646.41995148505,5822.14659478316,6047.55129345723,9401.74887401552,18160.0830195511,model,predicted
2496048,Peak_2,2761.56249987698,2999.9999999999895,3194.2237184031605,4553.06306782939,8131.483679694,model,predicted
2496048,Peak_5,4379.9745022095,4607.6858420502795,4860.70301186493,7236.024178620809,12855.65335566,model,predicted
2496048,DS_Dur_WS,94.225,112.895833333333,139.416666666667,169.5,189.485,model,predicted
2496048,DS_Mag_50,129.092703383546,167.288365805147,193.894552206269,230.375650054193,251.686310702152,model,predicted
2496048,DS_Mag_90,125.44017008773,170.974640233205,221.66772144343,271.988694814195,337.128936423601,model,predicted
2496048,DS_Tim,280.55,290,300.3375,312.84375,324.875,model,predicted
2496048,FA_Mag,154.181232972051,233.645214051116,393.327495543232,581.265221872265,966.814365396824,model,predicted
2496048,FA_Tim,5.325,11.25,22.65,31,46.145,model,predicted
2496048,SP_Dur,56,66.6979166666667,86.9,124.98125,161.0625,model,predicted
2496048,SP_Mag,592.882921139093,877.475028297361,1200.229708001,1989.80476243267,3486.34768430561,model,predicted
2496048,SP_Tim,150.5675,184,222.270833333333,237,246.5,model,predicted
2496048,Wet_BFL_Dur,70.35,102.35,138.1125,175.370833333334,198.52,model,predicted
2496048,Wet_BFL_Mag_10,146.371080906132,197.853108997633,256.96325401186,359.881816096639,416.726046925476,model,predicted
2496048,Wet_BFL_Mag_50,316.23698019259,426.953479005526,506.08371693983,732.128003510961,986.643154429566,model,predicted
2496048,Wet_Tim,40.09,54.8125,67.3,89.325,112.3075,model,predicted
