comid,metric,p10,p25,p50,p75,p90,source,result_type
2851625,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted
2851625,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted
2851625,Peak_Fre_2,1,1,2,3,5,inferred,predicted
2851625,Peak_Fre_5,1,1,1,2,3,inferred,predicted
2851625,Peak_10,182740.53099966602,223064.57654682698,268873.19793147896,415755.64795956,552105.665804158,model,predicted
2851625,Peak_2,70585.2642030052,101996.77806300699,142291.787962117,169539.945040349,259970.523623023,model,predicted
2851625,Peak_5,133307.798495078,177230.265529321,211026.878112826,298042.531160962,442469.847170525,model,predicted
2851625,DS_Dur_WS,90,111.514583333333,141.7125,175.989583333333,206.87,model,predicted
2851625,DS_Mag_50,169.605433954218,438.29792204639,1155.86840923681,2675.99576506497,3682.16103746644,model,predicted
2851625,DS_Mag_90,1006.38679579949,1732.92098453473,3043.06666965293,5069.14046311364,8579.31190639826,model,predicted
2851625,DS_Tim,253.575,269.6875,290.775,308.125,324.845,model,predicted
2851625,FA_Mag,2013.28645726593,3816.61382813485,7641.72247383512,14526.6622599186,29632.8356485099,model,predicted
2851625,FA_Tim,5,11.2,24,36.525,46.11,model,predicted
2851625,SP_Dur,34,45.6583333333333,67.0625,99.9666666666666,135.029166666666,model,predicted
2851625,SP_Mag,15168.2457094385,24735.4699978668,46414.3793671615,78997.1130791077,148003.884899126,model,predicted
2851625,SP_Tim,152,177.520833333333,203.333333333333,227.2625,239.175,model,predicted
2851625,Wet_BFL_Dur,68.795,94.6166666666666,130.25,162.11875,186.02,model,predicted
2851625,Wet_BFL_Mag_10,1689.47763428556,2862.70745968179,4422.11312315286,6389.59290302498,9640.3963190937,model,predicted
2851625,Wet_BFL_Mag_50,6403.03735486562,8447.47477156515,11323.192115096,16324.4426051004,23178.6753763076,model,predicted
2851625,Wet_Tim,39.75,52,69,94.0875,112.0125,model,predicted
