date,stream,site_group,gage_agency,gage_number,statistic,value
1998-10-24,feather river,upper feather lfc,interpolated,interpolated,max,7.6501755060301555
1998-10-24,feather river,upper feather lfc,interpolated,interpolated,min,8.184272433550763
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,mean,8.364389648886217
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,max,8.103248916353945
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,min,7.984596414989005
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,mean,8.25674496219499
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,max,8.103792102623139
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,min,7.784920396427244
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,mean,8.365275133444587
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,max,8.104335288892333
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,min,7.985421225738691
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,mean,8.365717875723771
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,max,7.87861336313423
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,min,8.185922055050138
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,mean,8.366160618002956
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,max,8.105421661430722
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,min,7.986246036488378
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,mean,8.042341073370903
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,max,7.879699735672618
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,min,7.586481593990014
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,mean,7.610434099768436
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,max,7.2014475858599205
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,min,7.386805575428254
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,mean,8.043226557929271
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,max,7.6545209961837095
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,min,7.787394828676304
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,mean,7.6113195843268056
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,max,7.428799070425606
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,min,7.187541962241337
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,mean,7.8279371845468155
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,max,7.429342256694801
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,min,7.588131215489387
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,mean,7.720292497855588
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,max,7.429885442963995
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,min,7.3884551969276275
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,mean,7.720735240134773
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,max,7.430428629233189
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,min,7.38886760230247
1998-11-06,feather river,upper feather lfc,interpolated,interpolated,mean,7.505003124473132
1998-11-06,feather river,upper feather lfc,interpolated,interpolated,max,6.978441591447789
1998-11-06,feather river,upper feather lfc,interpolated,interpolated,min,7.389280007677314
1998-11-07,feather river,upper feather lfc,interpolated,interpolated,mean,7.2892710088114905
1998-11-07,feather river,upper feather lfc,interpolated,interpolated,max,6.7527196656896855
1998-11-07,feather river,upper feather lfc,interpolated,interpolated,min,7.189603989115554
1998-11-08,feather river,upper feather lfc,interpolated,interpolated,mean,7.07353889314985
1998-11-08,feather river,upper feather lfc,interpolated,interpolated,max,6.526997739931582
1998-11-08,feather river,upper feather lfc,interpolated,interpolated,min,6.989927970553794
1998-11-09,feather river,upper feather lfc,interpolated,interpolated,mean,6.857806777488209
1998-11-09,feather river,upper feather lfc,interpolated,interpolated,max,6.527540926200777
1998-11-09,feather river,upper feather lfc,interpolated,interpolated,min,6.590163528055429
1998-11-10,feather river,upper feather lfc,interpolated,interpolated,mean,6.75016209079698
1998-11-10,feather river,upper feather lfc,interpolated,interpolated,max,6.075553888415375
1998-11-10,feather river,upper feather lfc,interpolated,interpolated,min,6.790664357366877
1998-11-11,feather river,upper feather lfc,interpolated,interpolated,mean,6.966779691016992
1998-11-11,feather river,upper feather lfc,interpolated,interpolated,max,6.528627298739165
1998-11-11,feather river,upper feather lfc,interpolated,interpolated,min,6.791076762741719
1998-11-12,feather river,upper feather lfc,interpolated,interpolated,mean,6.6429601463849375
1998-11-12,feather river,upper feather lfc,interpolated,interpolated,max,6.302905372981061
1998-11-12,feather river,upper feather lfc,interpolated,interpolated,min,6.391312320243356
1998-11-13,feather river,upper feather lfc,interpolated,interpolated,mean,6.751490317634534
1998-11-13,feather river,upper feather lfc,interpolated,interpolated,max,6.529713671277554
1998-11-13,feather river,upper feather lfc,interpolated,interpolated,min,6.391724725618199
1998-11-14,feather river,upper feather lfc,interpolated,interpolated,mean,6.7519330599137195
1998-11-14,feather river,upper feather lfc,interpolated,interpolated,max,6.530256857546748
1998-11-14,feather river,upper feather lfc,interpolated,interpolated,min,6.392137130993043
1998-11-15,feather river,upper feather lfc,interpolated,interpolated,mean,7.076638089104143
1998-11-15,feather river,upper feather lfc,interpolated,interpolated,max,6.7570651558432395
1998-11-15,feather river,upper feather lfc,interpolated,interpolated,min,6.792726384241092
1998-11-16,feather river,upper feather lfc,interpolated,interpolated,mean,6.8609059734425015
1998-11-16,feather river,upper feather lfc,interpolated,interpolated,max,6.305078118057838
1998-11-16,feather river,upper feather lfc,interpolated,interpolated,min,6.793138789615936
1998-11-17,feather river,upper feather lfc,interpolated,interpolated,mean,7.185611002632925
1998-11-17,feather river,upper feather lfc,interpolated,interpolated,max,6.758151528381628
1998-11-17,feather river,upper feather lfc,interpolated,interpolated,min,6.993639618927383
1998-11-18,feather river,upper feather lfc,interpolated,interpolated,mean,6.861791458000871
1998-11-18,feather river,upper feather lfc,interpolated,interpolated,max,6.532429602623525
1998-11-18,feather river,upper feather lfc,interpolated,interpolated,min,6.5938751764290195
1998-11-19,feather river,upper feather lfc,interpolated,interpolated,mean,6.537971913368818
1998-11-19,feather river,upper feather lfc,interpolated,interpolated,max,6.306707676865421
1998-11-19,feather river,upper feather lfc,interpolated,interpolated,min,6.194110733930655
1998-11-20,feather river,upper feather lfc,interpolated,interpolated,mean,6.430327226677589
1998-11-20,feather river,upper feather lfc,interpolated,interpolated,max,6.080985751107318
1998-11-20,feather river,upper feather lfc,interpolated,interpolated,min,6.194523139305499
1998-11-21,feather river,upper feather lfc,interpolated,interpolated,mean,6.971207113808838
1998-11-21,feather river,upper feather lfc,interpolated,interpolated,max,6.534059161431108
1998-11-21,feather river,upper feather lfc,interpolated,interpolated,min,6.795200816490153
1998-11-22,feather river,upper feather lfc,interpolated,interpolated,mean,7.295912142999261
1998-11-22,feather river,upper feather lfc,interpolated,interpolated,max,6.760867459727599
1998-11-22,feather river,upper feather lfc,interpolated,interpolated,min,7.195790069738203
1998-11-23,feather river,upper feather lfc,interpolated,interpolated,mean,7.404442314248858
1998-11-23,feather river,upper feather lfc,interpolated,interpolated,max,6.987675758024091
1998-11-23,feather river,upper feather lfc,interpolated,interpolated,min,7.196202475113047
1998-11-24,feather river,upper feather lfc,interpolated,interpolated,mean,7.2967976275576305
1998-11-24,feather river,upper feather lfc,interpolated,interpolated,max,6.761953832265988
1998-11-24,feather river,upper feather lfc,interpolated,interpolated,min,7.196614880487891
