date,stream,site_group,gage_agency,gage_number,statistic,value
1998-10-24,feather river,upper feather hfc,interpolated,interpolated,max,14.041682587652243
1998-10-24,feather river,upper feather hfc,interpolated,interpolated,min,14.138974468607465
1998-10-25,feather river,upper feather hfc,interpolated,interpolated,mean,14.584656856657006
1998-10-25,feather river,upper feather hfc,interpolated,interpolated,max,14.70853866404097
1998-10-25,feather river,upper feather hfc,interpolated,interpolated,min,13.775493107941305
1998-10-26,feather river,upper feather hfc,interpolated,interpolated,mean,14.412357530509212
1998-10-26,feather river,upper feather hfc,interpolated,interpolated,max,14.70831382808733
1998-10-26,feather river,upper feather hfc,interpolated,interpolated,min,13.412011747275143
1998-10-27,feather river,upper feather hfc,interpolated,interpolated,mean,14.583768522735763
1998-10-27,feather river,upper feather hfc,interpolated,interpolated,max,14.708088992133693
1998-10-27,feather river,upper feather hfc,interpolated,interpolated,min,13.774910920772598
1998-10-28,feather river,upper feather hfc,interpolated,interpolated,mean,14.583324355775144
1998-10-28,feather river,upper feather hfc,interpolated,interpolated,max,14.37432370000887
1998-10-28,feather river,upper feather hfc,interpolated,interpolated,min,14.137810094270057
1998-10-29,feather river,upper feather hfc,interpolated,interpolated,mean,14.582880188814523
1998-10-29,feather river,upper feather hfc,interpolated,interpolated,max,14.707639320226416
1998-10-29,feather river,upper feather hfc,interpolated,interpolated,min,13.774328733603895
1998-10-30,feather river,upper feather hfc,interpolated,interpolated,mean,14.066870544292385
1998-10-30,feather river,upper feather hfc,interpolated,interpolated,max,14.373874028101593
1998-10-30,feather river,upper feather hfc,interpolated,interpolated,min,13.047657105855926
1998-10-31,feather river,upper feather hfc,interpolated,interpolated,mean,13.379005740583075
1998-10-31,feather river,upper feather hfc,interpolated,interpolated,max,13.373027823634406
1998-10-31,feather river,upper feather hfc,interpolated,interpolated,min,12.684175745189764
1998-11-01,feather river,upper feather hfc,interpolated,interpolated,mean,14.065982210371144
1998-11-01,feather river,upper feather hfc,interpolated,interpolated,max,14.039883900023133
1998-11-01,feather river,upper feather hfc,interpolated,interpolated,min,13.410265185769031
1998-11-02,feather river,upper feather hfc,interpolated,interpolated,mean,13.378117406661836
1998-11-02,feather river,upper feather hfc,interpolated,interpolated,max,13.706118607898311
1998-11-02,feather river,upper feather hfc,interpolated,interpolated,min,12.32040329093925
1998-11-03,feather river,upper feather hfc,interpolated,interpolated,mean,13.72138355807556
1998-11-03,feather river,upper feather hfc,interpolated,interpolated,max,13.705893771944673
1998-11-03,feather river,upper feather hfc,interpolated,interpolated,min,13.046492731518516
1998-11-04,feather river,upper feather hfc,interpolated,interpolated,mean,13.549084231927768
1998-11-04,feather river,upper feather hfc,interpolated,interpolated,max,13.705668935991035
1998-11-04,feather river,upper feather hfc,interpolated,interpolated,min,12.683011370852356
1998-11-05,feather river,upper feather hfc,interpolated,interpolated,mean,13.548640064967147
1998-11-05,feather river,upper feather hfc,interpolated,interpolated,max,13.705444100037395
1998-11-05,feather river,upper feather hfc,interpolated,interpolated,min,12.682720277268004
1998-11-06,feather river,upper feather hfc,interpolated,interpolated,mean,13.20448557963218
1998-11-06,feather river,upper feather hfc,interpolated,interpolated,max,13.038138351741392
1998-11-06,feather river,upper feather hfc,interpolated,interpolated,min,12.682429183683652
1998-11-07,feather river,upper feather hfc,interpolated,interpolated,mean,12.860331094297216
1998-11-07,feather river,upper feather hfc,interpolated,interpolated,max,12.704373059616568
1998-11-07,feather river,upper feather hfc,interpolated,interpolated,min,12.31894782301749
1998-11-08,feather river,upper feather hfc,interpolated,interpolated,mean,12.516176608962251
1998-11-08,feather river,upper feather hfc,interpolated,interpolated,max,12.370607767491746
1998-11-08,feather river,upper feather hfc,interpolated,interpolated,min,11.955466462351328
1998-11-09,feather river,upper feather hfc,interpolated,interpolated,mean,12.172022123627286
1998-11-09,feather river,upper feather hfc,interpolated,interpolated,max,12.370382931538108
1998-11-09,feather river,upper feather hfc,interpolated,interpolated,min,11.22879483460336
1998-11-10,feather river,upper feather hfc,interpolated,interpolated,mean,11.999722797479494
1998-11-10,feather river,upper feather hfc,interpolated,interpolated,max,11.703077183242103
1998-11-10,feather river,upper feather hfc,interpolated,interpolated,min,11.591694008100816
1998-11-11,feather river,upper feather hfc,interpolated,interpolated,mean,12.342988948893218
1998-11-11,feather river,upper feather hfc,interpolated,interpolated,max,12.36993325963083
1998-11-11,feather river,upper feather hfc,interpolated,interpolated,min,11.591402914516465
1998-11-12,feather river,upper feather hfc,interpolated,interpolated,mean,11.826979304371083
1998-11-12,feather river,upper feather hfc,interpolated,interpolated,max,12.036167967506008
1998-11-12,feather river,upper feather hfc,interpolated,interpolated,min,10.864731286768494
1998-11-13,feather river,upper feather hfc,interpolated,interpolated,mean,11.998390296597634
1998-11-13,feather river,upper feather hfc,interpolated,interpolated,max,12.369483587723554
1998-11-13,feather river,upper feather hfc,interpolated,interpolated,min,10.864440193184143
1998-11-14,feather river,upper feather hfc,interpolated,interpolated,mean,11.997946129637013
1998-11-14,feather river,upper feather hfc,interpolated,interpolated,max,12.369258751769914
1998-11-14,feather river,upper feather hfc,interpolated,interpolated,min,10.86414909959979
1998-11-15,feather river,upper feather hfc,interpolated,interpolated,mean,12.513067440237908
1998-11-15,feather river,upper feather hfc,interpolated,interpolated,max,12.70257437198746
1998-11-15,feather river,upper feather hfc,interpolated,interpolated,min,11.590238540179055
1998-11-16,feather river,upper feather hfc,interpolated,interpolated,mean,12.168912954902943
1998-11-16,feather river,upper feather hfc,interpolated,interpolated,max,12.035268623691454
1998-11-16,feather river,upper feather hfc,interpolated,interpolated,min,11.589947446594703
1998-11-17,feather river,upper feather hfc,interpolated,interpolated,mean,12.68403426550384
1998-11-17,feather river,upper feather hfc,interpolated,interpolated,max,12.702124700080182
1998-11-17,feather river,upper feather hfc,interpolated,interpolated,min,11.95284662009216
1998-11-18,feather river,upper feather hfc,interpolated,interpolated,mean,12.168024620981704
1998-11-18,feather river,upper feather hfc,interpolated,interpolated,max,12.36835940795536
1998-11-18,feather river,upper feather hfc,interpolated,interpolated,min,11.226174992344191
1998-11-19,feather river,upper feather hfc,interpolated,interpolated,mean,11.652014976459567
1998-11-19,feather river,upper feather hfc,interpolated,interpolated,max,12.034594115830538
1998-11-19,feather river,upper feather hfc,interpolated,interpolated,min,10.499503364596219
1998-11-20,feather river,upper feather hfc,interpolated,interpolated,mean,11.479715650311775
1998-11-20,feather river,upper feather hfc,interpolated,interpolated,max,11.700828823705717
1998-11-20,feather river,upper feather hfc,interpolated,interpolated,min,10.499212271011867
1998-11-21,feather river,upper feather hfc,interpolated,interpolated,mean,12.338547279287015
1998-11-21,feather river,upper feather hfc,interpolated,interpolated,max,12.367684900094444
1998-11-21,feather river,upper feather hfc,interpolated,interpolated,min,11.588491978672945
1998-11-22,feather river,upper feather hfc,interpolated,interpolated,mean,12.85366858988791
1998-11-22,feather river,upper feather hfc,interpolated,interpolated,max,12.70100052031199
1998-11-22,feather river,upper feather hfc,interpolated,interpolated,min,12.314581419252209
1998-11-23,feather river,upper feather hfc,interpolated,interpolated,mean,13.025079582114463
1998-11-23,feather river,upper feather hfc,interpolated,interpolated,max,13.034316140529533
1998-11-23,feather river,upper feather hfc,interpolated,interpolated,min,12.314290325667855
1998-11-24,feather river,upper feather hfc,interpolated,interpolated,mean,12.85278025596667
1998-11-24,feather river,upper feather hfc,interpolated,interpolated,max,12.70055084840471
1998-11-24,feather river,upper feather hfc,interpolated,interpolated,min,12.313999232083503
1998-11-25,feather river,upper feather hfc,interpolated,interpolated,mean,12.336770611444532
1998-11-25,feather river,upper feather hfc,interpolated,interpolated,max,12.36678555627989
1998-11-25,feather river,upper feather hfc,interpolated,interpolated,min,11.587327604335535
1998-11-26,feather river,upper feather hfc,interpolated,interpolated,mean,12.16447128529674
1998-11-26,feather river,upper feather hfc,interpolated,interpolated,max,12.033020264155066
1998-11-26,feather river,upper feather hfc,interpolated,interpolated,min,11.587036510751183
1998-11-27,feather river,upper feather hfc,interpolated,interpolated,mean,12.679592595897635
1998-11-27,feather river,upper feather hfc,interpolated,interpolated,max,12.366335884372612
1998-11-27,feather river,upper feather hfc,interpolated,interpolated,min,12.313125951330449
1998-11-28,feather river,upper feather hfc,interpolated,interpolated,mean,12.851003588124188
1998-11-28,feather river,upper feather hfc,interpolated,interpolated,max,12.699651504590157
1998-11-28,feather river,upper feather hfc,interpolated,interpolated,min,12.312834857746097
1998-11-29,feather river,upper feather hfc,interpolated,interpolated,mean,12.506849102789223
1998-11-29,feather river,upper feather hfc,interpolated,interpolated,max,12.365886212465334
1998-11-29,feather river,upper feather hfc,interpolated,interpolated,min,11.949353497079935
1998-11-30,feather river,upper feather hfc,interpolated,interpolated,mean,13.02197041339012
1998-11-30,feather river,upper feather hfc,interpolated,interpolated,max,13.032742288854063
1998-11-30,feather river,upper feather hfc,interpolated,interpolated,min,12.31225267057739
1998-12-01,feather river,upper feather hfc,interpolated,interpolated,mean,13.021526246429499
1998-12-01,feather river,upper feather hfc,interpolated,interpolated,max,12.69897699672924
1998-12-01,feather river,upper feather hfc,interpolated,interpolated,min,12.675151844074849
1998-12-02,feather river,upper feather hfc,interpolated,interpolated,mean,13.02108207946888
1998-12-02,feather river,upper feather hfc,interpolated,interpolated,max,12.698752160775602
1998-12-02,feather river,upper feather hfc,interpolated,interpolated,min,12.674860750490497
1998-12-03,feather river,upper feather hfc,interpolated,interpolated,mean,12.50507243494674
1998-12-03,feather river,upper feather hfc,interpolated,interpolated,max,12.698527324821963
1998-12-03,feather river,upper feather hfc,interpolated,interpolated,min,11.584998855660718
1998-12-04,feather river,upper feather hfc,interpolated,interpolated,mean,11.301642153675914
1998-12-04,feather river,upper feather hfc,interpolated,interpolated,max,11.364140664183592
1998-12-04,feather river,upper feather hfc,interpolated,interpolated,min,10.495136960830937
1998-12-05,feather river,upper feather hfc,interpolated,interpolated,mean,10.441922190779433
1998-12-05,feather river,upper feather hfc,interpolated,interpolated,max,10.363294459716403
1998-12-05,feather river,upper feather hfc,interpolated,interpolated,min,9.768465333082968
1998-12-06,feather river,upper feather hfc,interpolated,interpolated,mean,10.097767705444468
1998-12-06,feather river,upper feather hfc,interpolated,interpolated,max,10.029529167591583
1998-12-06,feather river,upper feather hfc,interpolated,interpolated,min,9.404983972416808
1998-12-07,feather river,upper feather hfc,interpolated,interpolated,mean,9.753613220109504
1998-12-07,feather river,upper feather hfc,interpolated,interpolated,max,9.69576387546676
1998-12-07,feather river,upper feather hfc,interpolated,interpolated,min,9.041502611750646
1998-12-08,feather river,upper feather hfc,interpolated,interpolated,mean,10.612444849084746
1998-12-08,feather river,upper feather hfc,interpolated,interpolated,max,10.696160408026671
1998-12-08,feather river,upper feather hfc,interpolated,interpolated,min,9.767592052329912
1998-12-09,feather river,upper feather hfc,interpolated,interpolated,mean,10.26829036374978
1998-12-09,feather river,upper feather hfc,interpolated,interpolated,max,10.36239511590185
1998-12-09,feather river,upper feather hfc,interpolated,interpolated,min,9.404110691663751
1998-12-10,feather river,upper feather hfc,interpolated,interpolated,mean,10.26784619678916
1998-12-10,feather river,upper feather hfc,interpolated,interpolated,max,10.36217027994821
1998-12-10,feather river,upper feather hfc,interpolated,interpolated,min,9.4038195980794
1998-12-11,feather river,upper feather hfc,interpolated,interpolated,mean,10.439257189015713
1998-12-11,feather river,upper feather hfc,interpolated,interpolated,max,10.361945443994571
1998-12-11,feather river,upper feather hfc,interpolated,interpolated,min,9.766718771576855
1998-12-12,feather river,upper feather hfc,interpolated,interpolated,mean,10.954378499616608
1998-12-12,feather river,upper feather hfc,interpolated,interpolated,max,11.0288015203833
1998-12-12,feather river,upper feather hfc,interpolated,interpolated,min,10.129617945074312
1998-12-13,feather river,upper feather hfc,interpolated,interpolated,mean,11.469499810217503
1998-12-13,feather river,upper feather hfc,interpolated,interpolated,max,11.362117140600844
1998-12-13,feather river,upper feather hfc,interpolated,interpolated,min,10.855707385653579
1998-12-14,feather river,upper feather hfc,interpolated,interpolated,mean,11.640910802444056
1998-12-14,feather river,upper feather hfc,interpolated,interpolated,max,11.695432760818388
1998-12-14,feather river,upper feather hfc,interpolated,interpolated,min,10.855416292069226
1998-12-15,feather river,upper feather hfc,interpolated,interpolated,mean,11.468611476296264
1998-12-15,feather river,upper feather hfc,interpolated,interpolated,max,11.69520792486475
1998-12-15,feather river,upper feather hfc,interpolated,interpolated,min,10.491934931403065
1998-12-16,feather river,upper feather hfc,interpolated,interpolated,mean,11.983732786897159
1998-12-16,feather river,upper feather hfc,interpolated,interpolated,max,12.362064001253477
1998-12-16,feather river,upper feather hfc,interpolated,interpolated,min,10.854834104900522
1998-12-17,feather river,upper feather hfc,interpolated,interpolated,mean,11.983288619936538
1998-12-17,feather river,upper feather hfc,interpolated,interpolated,max,12.028298709128656
1998-12-17,feather river,upper feather hfc,interpolated,interpolated,min,11.21773327839798
1998-12-18,feather river,upper feather hfc,interpolated,interpolated,mean,11.639134134601575
1998-12-18,feather river,upper feather hfc,interpolated,interpolated,max,11.694533417003834
1998-12-18,feather river,upper feather hfc,interpolated,interpolated,min,10.854251917731819
1998-12-19,feather river,upper feather hfc,interpolated,interpolated,mean,10.951269330892266
1998-12-19,feather river,upper feather hfc,interpolated,interpolated,max,11.027227668707829
1998-12-19,feather river,upper feather hfc,interpolated,interpolated,min,10.127580289983847
1998-12-20,feather river,upper feather hfc,interpolated,interpolated,mean,9.919694208808611
1998-12-20,feather river,upper feather hfc,interpolated,interpolated,max,10.359921920411825
1998-12-20,feather river,upper feather hfc,interpolated,interpolated,min,8.67452812807226
1998-12-21,feather river,upper feather hfc,interpolated,interpolated,mean,8.544408768350612
1998-12-21,feather river,upper feather hfc,interpolated,interpolated,max,8.69199480360227
1998-12-21,feather river,upper feather hfc,interpolated,interpolated,min,7.584666233242482
1998-12-22,feather river,upper feather hfc,interpolated,interpolated,mean,8.028399123828475
1998-12-22,feather river,upper feather hfc,interpolated,interpolated,max,8.358229511477447
1998-12-22,feather river,upper feather hfc,interpolated,interpolated,min,6.857994605494511
1998-12-23,feather river,upper feather hfc,interpolated,interpolated,mean,7.856099797680683
1998-12-23,feather river,upper feather hfc,interpolated,interpolated,max,8.024464219352627
1998-12-23,feather river,upper feather hfc,interpolated,interpolated,min,6.857703511910159
1998-12-24,feather river,upper feather hfc,interpolated,interpolated,mean,7.855655630720063
1998-12-24,feather river,upper feather hfc,interpolated,interpolated,max,8.024239383398989
1998-12-24,feather river,upper feather hfc,interpolated,interpolated,min,6.857412418325807
1998-12-25,feather river,upper feather hfc,interpolated,interpolated,mean,8.714487259695304
1998-12-25,feather river,upper feather hfc,interpolated,interpolated,max,9.024635915958898
1998-12-25,feather river,upper feather hfc,interpolated,interpolated,min,7.583501858905073
1998-12-26,feather river,upper feather hfc,interpolated,interpolated,mean,9.573318888670544
1998-12-26,feather river,upper feather hfc,interpolated,interpolated,max,9.691491992347625
1998-12-26,feather river,upper feather hfc,interpolated,interpolated,min,8.672781566566147
1998-12-27,feather river,upper feather hfc,interpolated,interpolated,mean,9.916585040084268
1998-12-27,feather river,upper feather hfc,interpolated,interpolated,max,10.024807612565171
1998-12-27,feather river,upper feather hfc,interpolated,interpolated,min,9.035680740063604
1998-12-28,feather river,upper feather hfc,interpolated,interpolated,mean,10.259851191497992
1998-12-28,feather river,upper feather hfc,interpolated,interpolated,max,10.358123232782715
1998-12-28,feather river,upper feather hfc,interpolated,interpolated,min,9.398579913561061
1998-12-29,feather river,upper feather hfc,interpolated,interpolated,mean,10.0875518653502
1998-12-29,feather river,upper feather hfc,interpolated,interpolated,max,10.357898396829075
1998-12-29,feather river,upper feather hfc,interpolated,interpolated,min,9.0350985528949
1998-12-30,feather river,upper feather hfc,interpolated,interpolated,mean,10.087107698389579
1998-12-30,feather river,upper feather hfc,interpolated,interpolated,max,10.357673560875437
1998-12-30,feather river,upper feather hfc,interpolated,interpolated,min,9.034807459310548
1998-12-31,feather river,upper feather hfc,interpolated,interpolated,mean,10.602229008990475
1998-12-31,feather river,upper feather hfc,interpolated,interpolated,max,10.690989181092982
1998-12-31,feather river,upper feather hfc,interpolated,interpolated,min,9.760896899889813
1999-01-01,feather river,upper feather hfc,interpolated,interpolated,mean,10.429929682842683
1999-01-01,feather river,upper feather hfc,interpolated,interpolated,max,10.690764345139343
1999-01-01,feather river,upper feather hfc,interpolated,interpolated,min,9.397415539223653
1999-01-02,feather river,upper feather hfc,interpolated,interpolated,mean,10.25763035669489
1999-01-02,feather river,upper feather hfc,interpolated,interpolated,max,10.690539509185705
1999-01-02,feather river,upper feather hfc,interpolated,interpolated,min,9.033934178557491
1999-01-03,feather river,upper feather hfc,interpolated,interpolated,mean,10.42904134892144
1999-01-03,feather river,upper feather hfc,interpolated,interpolated,max,10.690314673232066
1999-01-03,feather river,upper feather hfc,interpolated,interpolated,min,9.396833352054948
1999-01-04,feather river,upper feather hfc,interpolated,interpolated,mean,10.428597181960821
1999-01-04,feather river,upper feather hfc,interpolated,interpolated,max,10.690089837278428
1999-01-04,feather river,upper feather hfc,interpolated,interpolated,min,9.396542258470596
1999-01-05,feather river,upper feather hfc,interpolated,interpolated,mean,9.912587537438684
1999-01-05,feather river,upper feather hfc,interpolated,interpolated,max,10.022784088982423
1999-01-05,feather river,upper feather hfc,interpolated,interpolated,min,9.033060897804436
1999-01-06,feather river,upper feather hfc,interpolated,interpolated,mean,10.083998529665237
1999-01-06,feather river,upper feather hfc,interpolated,interpolated,max,10.022559253028785
1999-01-06,feather river,upper feather hfc,interpolated,interpolated,min,9.395960071301893
1999-01-07,feather river,upper feather hfc,interpolated,interpolated,mean,10.083554362704614
1999-01-07,feather river,upper feather hfc,interpolated,interpolated,max,10.022334417075145
1999-01-07,feather river,upper feather hfc,interpolated,interpolated,min,9.39566897771754
1999-01-08,feather river,upper feather hfc,interpolated,interpolated,mean,9.911255036556822
1999-01-08,feather river,upper feather hfc,interpolated,interpolated,max,10.35565003729269
1999-01-08,feather river,upper feather hfc,interpolated,interpolated,min,8.668997349969569
1999-01-09,feather river,upper feather hfc,interpolated,interpolated,mean,9.910810869596203
1999-01-09,feather river,upper feather hfc,interpolated,interpolated,max,10.021884745167869
1999-01-09,feather river,upper feather hfc,interpolated,interpolated,min,9.031896523467028
1999-01-10,feather river,upper feather hfc,interpolated,interpolated,mean,10.082221861822754
1999-01-10,feather river,upper feather hfc,interpolated,interpolated,max,10.021659909214229
1999-01-10,feather river,upper feather hfc,interpolated,interpolated,min,9.394795696964483
1999-01-11,feather river,upper feather hfc,interpolated,interpolated,mean,10.081777694862133
1999-01-11,feather river,upper feather hfc,interpolated,interpolated,max,10.354975529431773
1999-01-11,feather river,upper feather hfc,interpolated,interpolated,min,9.031314336298323
1999-01-12,feather river,upper feather hfc,interpolated,interpolated,mean,10.253188687088686
1999-01-12,feather river,upper feather hfc,interpolated,interpolated,max,10.68829114964932
1999-01-12,feather river,upper feather hfc,interpolated,interpolated,min,9.031023242713971
1999-01-13,feather river,upper feather hfc,interpolated,interpolated,mean,10.59645483850241
1999-01-13,feather river,upper feather hfc,interpolated,interpolated,max,11.021606769866864
1999-01-13,feather river,upper feather hfc,interpolated,interpolated,min,9.393922416211428
1999-01-14,feather river,upper feather hfc,interpolated,interpolated,mean,10.596010671541789
1999-01-14,feather river,upper feather hfc,interpolated,interpolated,max,10.68784147774204
1999-01-14,feather river,upper feather hfc,interpolated,interpolated,min,9.756821589708883
1999-01-15,feather river,upper feather hfc,interpolated,interpolated,mean,11.282987141329858
