week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
10,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.525218890197241
10,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,10.351070754232932
11,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,13.706414309141977
11,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.525376291189442
11,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,10.6288572065963
12,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,13.705913653596951
12,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.568053882696157
12,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,11.183532688058351
13,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,14.36739509814035
13,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.175513378982192
13,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,10.070816387891677
14,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,12.71309695832214
14,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.478320208613757
14,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,10.070255498351246
15,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,15.02775006770744
15,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.652564847694226
15,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.792020334355534
16,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,16.01987836160784
16,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.414353915322607
16,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.29164969399351
17,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,16.019315124119686
17,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.825965268759342
17,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,11.17926992755109
18,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,16.680233331174932
18,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.042730098354326
18,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,11.734506298553567
19,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,17.010629852759426
19,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.585908499364818
19,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.289630491647962
20,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,17.34102637434392
20,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.824434233720833
20,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.288957424199449
21,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,18.994385785015204
21,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.607984206110253
21,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,13.399991055744836
