year,total_redds_obs,n_sites_missing,total_redds_filled,obs_fraction,redd_multiplier
1997,102,4,143,0.7132867132867133,1.4019607843137254
1998,237,2,282,0.8404255319148937,1.1898734177215189
1999,355,2,422,0.8412322274881516,1.1887323943661972
2000,349,2,415,0.8409638554216867,1.189111747851003
2001,703,2,836,0.8409090909090909,1.1891891891891893
2002,916,1,1068,0.8576779026217228,1.165938864628821
2003,850,1,991,0.8577194752774975,1.1658823529411764
2004,594,1,693,0.8571428571428571,1.1666666666666667
2005,682,1,795,0.8578616352201258,1.1656891495601174
2006,606,1,707,0.8571428571428571,1.1666666666666667
2007,460,1,478,0.9623430962343096,1.0391304347826087
2008,181,1,188,0.9627659574468085,1.0386740331491713
2009,110,1,114,0.9649122807017544,1.0363636363636364
2010,241,0,241,1,1
2011,183,1,190,0.9631578947368421,1.0382513661202186
2012,271,1,281,0.9644128113879004,1.03690036900369
2013,600,1,623,0.9630818619582665,1.0383333333333333
2014,220,2,231,0.9523809523809523,1.05
2015,58,1,60,0.9666666666666667,1.0344827586206897
2016,47,2,50,0.94,1.0638297872340425
2017,129,1,134,0.9626865671641791,1.0387596899224807
2018,76,0,76,1,1
2019,90,1,91,0.989010989010989,1.011111111111111
2020,40,1,40,1,1
