year,count,stream,data_type
2001,9605,butte creek,holding
2002,8785,butte creek,holding
2003,4398,butte creek,holding
2004,7390,butte creek,holding
2005,10625,butte creek,holding
2006,4579,butte creek,holding
2007,4943,butte creek,holding
2008,3935,butte creek,holding
2009,2059,butte creek,holding
2010,1160,butte creek,holding
2011,2130,butte creek,holding
2012,8615,butte creek,holding
2013,11470,butte creek,holding
2014,3616,butte creek,holding
2015,1082,butte creek,holding
2016,4450,butte creek,holding
2017,982,butte creek,holding
2018,2118,butte creek,holding
2019,6253,butte creek,holding
2020,1559,butte creek,holding
2021,12252,butte creek,holding
2022,2852,butte creek,holding
