stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,day_or_night_release,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,night_release,include,week_released,year_released,mark_type
clear creek,lcc,CLR171,2003-12-03,16:12:00,vulture bar,not recorded,14,35,NA,not recorded,not recorded,not recorded,not recorded,0,227,51.31,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR172,2003-12-03,16:12:00,clear creek road bridge,not recorded,20,35,NA,not recorded,not recorded,not recorded,not recorded,0,227,49.6,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR173,2003-12-13,15:13:00,vulture bar,not recorded,259,NA,NA,not recorded,not recorded,not recorded,not recorded,0,333,49.07,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR174,2003-12-13,15:13:00,clear creek road bridge,not recorded,259,NA,NA,not recorded,not recorded,not recorded,not recorded,0,333,48.77,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR175,2003-12-17,15:46:00,vulture bar,not recorded,105,35,NA,not recorded,not recorded,not recorded,not recorded,0,252,48.24,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR176,2003-12-17,15:46:00,clear creek road bridge,not recorded,60,34,NA,not recorded,not recorded,not recorded,not recorded,0,252,47.38,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR177,2003-12-19,14:38:00,vulture bar,not recorded,241,35,NA,not recorded,not recorded,not recorded,not recorded,0,238,47.13,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR178,2003-12-19,14:56:00,clear creek road bridge,not recorded,409,34,NA,not recorded,not recorded,not recorded,not recorded,0,241,46.55,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR179,2004-01-13,10:04:00,clear creek road bridge,not recorded,248,36.5,NA,not recorded,not recorded,not recorded,not recorded,1,323,44.34,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR180,2004-01-13,12:37:00,vulture bar,not recorded,247,37,NA,not recorded,not recorded,not recorded,not recorded,1,323,46.02,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR181,2004-01-30,18:41:00,vulture bar,not recorded,398,36,NA,not recorded,not recorded,not recorded,not recorded,1,267,46.3,NA,NA,yes,NA,NA,NA
clear creek,ucc,CLR182,2004-01-30,19:03:00,clear creek road bridge,not recorded,400,36,NA,not recorded,not recorded,not recorded,not recorded,1,267,46,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR183,2004-02-06,18:33:00,vulture bar,not recorded,395,37,NA,not recorded,not recorded,not recorded,not recorded,1,323,45.74,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR184,2004-02-06,18:53:00,clear creek road bridge,not recorded,400,38,NA,not recorded,not recorded,not recorded,not recorded,1,323,46,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR185,2004-02-10,17:20:00,clear creek road bridge,not recorded,397,37,NA,not recorded,not recorded,not recorded,not recorded,1,270,46,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR186,2004-02-10,17:46:00,vulture bar,not recorded,398,37,NA,not recorded,not recorded,not recorded,not recorded,1,270,46.85,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR187,2004-02-13,15:13:00,vulture bar,not recorded,447,38,NA,not recorded,not recorded,not recorded,not recorded,1,258,45.46,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR188,2004-02-13,19:20:00,clear creek road bridge,not recorded,367,38,NA,not recorded,not recorded,not recorded,not recorded,1,264,45.45,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR189,2004-02-24,14:03:00,vulture bar,not recorded,398,38,NA,not recorded,not recorded,not recorded,not recorded,1,401,50.75,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR190,2004-02-24,14:27:00,clear creek road bridge,not recorded,406,38,NA,not recorded,not recorded,not recorded,not recorded,1,401,48.77,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR191,2004-03-02,17:30:00,vulture bar,not recorded,402,38,NA,not recorded,not recorded,not recorded,not recorded,1,614,50.75,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR192,2004-03-02,17:46:00,clear creek road bridge,not recorded,405,38,NA,not recorded,not recorded,not recorded,not recorded,1,614,49.89,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR193,2004-03-05,17:32:00,vulture bar,not recorded,397,37.5,NA,not recorded,not recorded,not recorded,not recorded,1,397,49.63,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR194,2004-03-05,17:48:00,clear creek road bridge,not recorded,389,43,NA,not recorded,not recorded,not recorded,not recorded,1,397,49.6,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR195,2004-03-05,17:48:00,clear creek road bridge,not recorded,54,45,NA,not recorded,not recorded,not recorded,not recorded,1,397,49.6,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR196,2004-03-09,13:35:00,vulture bar,not recorded,296,37,NA,not recorded,not recorded,not recorded,not recorded,1,323,53.82,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR197,2004-03-09,13:55:00,clear creek road bridge,not recorded,298,38,NA,not recorded,not recorded,not recorded,not recorded,1,304,51.01,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR198,2004-03-12,15:09:00,vulture bar,not recorded,397,37,NA,not recorded,not recorded,not recorded,not recorded,1,290,54.65,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR199,2004-03-12,15:23:00,clear creek road bridge,not recorded,368,36,NA,not recorded,not recorded,not recorded,not recorded,1,290,51.29,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR200,2004-03-12,15:23:00,clear creek road bridge,not recorded,24,47,NA,not recorded,not recorded,not recorded,not recorded,1,290,51.29,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR201,2004-03-16,14:45:00,vulture bar,not recorded,385,38,NA,not recorded,not recorded,not recorded,not recorded,1,270,55.49,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR202,2004-03-16,15:10:00,clear creek road bridge,not recorded,384,38,NA,not recorded,not recorded,not recorded,not recorded,1,270,51.57,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR203,2004-03-16,15:10:00,clear creek road bridge,not recorded,8,45.5,NA,not recorded,not recorded,not recorded,not recorded,1,270,51.57,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR204,2004-03-26,14:20:00,vulture bar,not recorded,368,38,NA,not recorded,not recorded,not recorded,not recorded,1,267,54.65,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR205,2004-03-26,14:35:00,clear creek road bridge,not recorded,358,NA,NA,not recorded,not recorded,not recorded,not recorded,1,267,48.49,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR206,2004-03-26,14:35:00,clear creek road bridge,not recorded,30,NA,NA,not recorded,not recorded,not recorded,not recorded,1,267,48.49,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR207,2004-04-02,11:55:00,clear creek road bridge,not recorded,402,38,NA,not recorded,not recorded,not recorded,not recorded,1,250,49.6,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR208,2004-04-02,11:55:00,clear creek road bridge,not recorded,27,56,NA,not recorded,not recorded,not recorded,not recorded,1,253,49.6,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR209,2004-04-09,14:00:00,clear creek road bridge,not recorded,153,37,NA,not recorded,not recorded,not recorded,not recorded,1,241,53.5,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR210,2004-04-09,14:00:00,clear creek road bridge,not recorded,33,54,NA,not recorded,not recorded,not recorded,not recorded,1,241,53.5,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR211,2004-04-16,11:10:00,clear creek road bridge,not recorded,272,37,NA,not recorded,not recorded,not recorded,not recorded,1,239,49.6,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR212,2004-04-16,11:10:00,clear creek road bridge,not recorded,81,62,NA,not recorded,not recorded,not recorded,not recorded,1,239,49.6,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR213,2005-01-04,19:30:00,vulture bar,not recorded,422,36,NA,not recorded,not recorded,not recorded,not recorded,1,284,45.19,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR214,2005-01-04,19:50:00,clear creek road bridge,not recorded,437,36,NA,not recorded,not recorded,not recorded,not recorded,1,284,46.57,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR215,2005-01-07,22:45:00,vulture bar,not recorded,240,37,NA,not recorded,not recorded,not recorded,not recorded,1,319,44.91,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR216,2005-01-07,23:24:00,clear creek road bridge,not recorded,240,36,NA,not recorded,not recorded,not recorded,not recorded,1,319,45.17,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR217,2005-01-11,23:22:00,vulture bar,not recorded,409,36,NA,not recorded,not recorded,not recorded,not recorded,1,344,44.35,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR218,2005-01-11,23:46:00,clear creek road bridge,not recorded,414,36,NA,not recorded,not recorded,not recorded,not recorded,1,344,45.73,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR219,2005-01-13,23:47:00,vulture bar,not recorded,281,36,NA,not recorded,not recorded,not recorded,not recorded,1,273,46.02,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR220,2005-01-14,00:12:00,clear creek road bridge,not recorded,400,36,NA,not recorded,not recorded,not recorded,not recorded,1,287,45.45,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR221,2005-01-17,18:35:00,vulture bar,not recorded,52,37,NA,not recorded,not recorded,not recorded,not recorded,1,258,47.41,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR222,2005-01-17,18:58:00,clear creek road bridge,not recorded,53,37,NA,not recorded,not recorded,not recorded,not recorded,1,258,47.68,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR223,2005-01-21,18:19:00,vulture bar,not recorded,400,35,NA,not recorded,not recorded,not recorded,not recorded,1,247,46.58,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR224,2005-01-21,18:35:00,clear creek road bridge,not recorded,400,36,NA,not recorded,not recorded,not recorded,not recorded,1,247,47.12,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR225,2005-01-25,17:43:00,vulture bar,not recorded,431,36,NA,not recorded,not recorded,not recorded,not recorded,1,241,47.41,NA,TRUE,yes,NA,NA,NA
