stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,day_or_night_release,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,night_release,include,week_released,year_released,mark_type
clear creek,ucc,CLR226,2005-01-25,18:05:00,clear creek road bridge,not recorded,401,38,NA,not recorded,not recorded,not recorded,not recorded,1,241,47.4,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR227,2005-01-28,16:52:00,vulture bar,not recorded,424,35.5,NA,not recorded,not recorded,not recorded,not recorded,1,458,48.52,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR228,2005-01-28,17:09:00,clear creek road bridge,not recorded,398,36,NA,not recorded,not recorded,not recorded,not recorded,1,454,48.51,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR229,2005-02-01,17:30:00,vulture bar,not recorded,411,37,NA,not recorded,not recorded,not recorded,not recorded,1,278,47.96,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR230,2005-02-01,17:49:00,clear creek road bridge,not recorded,411,36,NA,not recorded,not recorded,not recorded,not recorded,1,278,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR231,2005-02-04,17:53:00,vulture bar,not recorded,424,36,NA,not recorded,not recorded,not recorded,not recorded,1,261,47.69,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR232,2005-02-04,18:11:00,clear creek road bridge,not recorded,459,36,NA,not recorded,not recorded,not recorded,not recorded,1,261,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR233,2005-02-08,18:48:00,vulture bar,not recorded,418,37.5,NA,not recorded,not recorded,not recorded,not recorded,1,247,47.41,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR234,2005-02-08,19:12:00,clear creek road bridge,not recorded,464,37,NA,not recorded,not recorded,not recorded,not recorded,1,247,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR235,2005-02-11,18:29:00,vulture bar,not recorded,402,36,NA,not recorded,not recorded,not recorded,not recorded,1,241,47.69,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR236,2005-02-11,18:47:00,clear creek road bridge,not recorded,399,35,NA,not recorded,not recorded,not recorded,not recorded,1,241,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR237,2005-02-15,18:02:00,vulture bar,not recorded,380,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,47.41,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR238,2005-02-15,18:19:00,clear creek road bridge,not recorded,412,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,47.68,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR239,2005-02-18,17:51:00,vulture bar,not recorded,379,37,NA,not recorded,not recorded,not recorded,not recorded,1,223,47.96,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR240,2005-02-18,18:10:00,clear creek road bridge,not recorded,348,38,NA,not recorded,not recorded,not recorded,not recorded,1,223,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR241,2005-02-22,17:32:00,vulture bar,not recorded,411,37,NA,not recorded,not recorded,not recorded,not recorded,1,308,50.76,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR242,2005-02-22,17:57:00,clear creek road bridge,not recorded,405,37.5,NA,not recorded,not recorded,not recorded,not recorded,1,308,50.19,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR243,2005-02-25,18:05:00,vulture bar,not recorded,398,37,NA,not recorded,not recorded,not recorded,not recorded,1,270,50.48,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR244,2005-02-25,18:20:00,clear creek road bridge,not recorded,400,38,NA,not recorded,not recorded,not recorded,not recorded,1,270,49.63,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR245,2005-03-01,14:01:00,vulture bar,not recorded,418,37,NA,not recorded,not recorded,not recorded,not recorded,1,359,49.92,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR246,2005-03-01,14:33:00,clear creek road bridge,not recorded,422,37,NA,not recorded,not recorded,not recorded,not recorded,1,355,49.35,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR247,2005-03-04,17:43:00,vulture bar,not recorded,306,36,NA,not recorded,not recorded,not recorded,not recorded,1,319,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR248,2005-03-04,18:02:00,clear creek road bridge,not recorded,384,37,NA,not recorded,not recorded,not recorded,not recorded,1,319,51.31,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR249,2005-03-08,18:28:00,vulture bar,not recorded,214,36.5,NA,not recorded,not recorded,not recorded,not recorded,1,270,52.98,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR250,2005-03-08,18:47:00,clear creek road bridge,not recorded,212,36,NA,not recorded,not recorded,not recorded,not recorded,1,270,52.42,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR251,2005-03-11,18:20:00,vulture bar,not recorded,261,36,NA,not recorded,not recorded,not recorded,not recorded,1,258,53.82,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR252,2005-03-11,18:45:00,clear creek road bridge,not recorded,229,36,NA,not recorded,not recorded,not recorded,not recorded,1,258,52.7,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR253,2005-03-15,17:27:00,vulture bar,not recorded,92,36,NA,not recorded,not recorded,not recorded,not recorded,1,247,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR254,2005-03-15,17:43:00,clear creek road bridge,not recorded,97,36,NA,not recorded,not recorded,not recorded,not recorded,1,247,51.03,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR255,2005-03-25,17:11:00,vulture bar,not recorded,319,35.5,NA,not recorded,not recorded,not recorded,not recorded,1,421,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR256,2005-03-25,17:27:00,clear creek road bridge,not recorded,398,35,NA,not recorded,not recorded,not recorded,not recorded,1,421,51.87,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR257,2005-03-29,16:13:00,vulture bar,not recorded,388,38.5,NA,not recorded,not recorded,not recorded,not recorded,1,386,54.1,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR258,2005-03-29,16:32:00,clear creek road bridge,not recorded,401,40,NA,not recorded,not recorded,not recorded,not recorded,1,386,52.15,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR259,2005-04-01,15:37:00,clear creek road bridge,not recorded,212,35,NA,not recorded,not recorded,not recorded,not recorded,1,319,51.87,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR260,2005-04-01,15:37:00,vulture bar,not recorded,253,36,NA,not recorded,not recorded,not recorded,not recorded,1,319,52.7,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR261,2005-04-05,15:04:00,vulture bar,not recorded,398,37,NA,not recorded,not recorded,not recorded,not recorded,1,308,55.5,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR262,2005-04-05,15:21:00,clear creek road bridge,not recorded,396,38,NA,not recorded,not recorded,not recorded,not recorded,1,308,53.54,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR263,2005-04-08,18:45:00,vulture bar,not recorded,202,40.5,NA,not recorded,not recorded,not recorded,not recorded,1,421,50.2,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR264,2005-04-08,19:15:00,clear creek road bridge,not recorded,202,42.5,NA,not recorded,not recorded,not recorded,not recorded,1,417,50.47,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR265,2005-04-12,18:18:00,clear creek road bridge,not recorded,363,38,NA,not recorded,not recorded,not recorded,not recorded,1,312,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR266,2005-04-12,18:46:00,vulture bar,not recorded,364,39,NA,not recorded,not recorded,not recorded,not recorded,1,312,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR267,2005-04-15,17:40:00,vulture bar,not recorded,218,36,NA,not recorded,not recorded,not recorded,not recorded,1,284,56.61,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR268,2005-04-15,18:02:00,clear creek road bridge,not recorded,106,38,NA,not recorded,not recorded,not recorded,not recorded,1,284,54.94,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR269,2005-04-19,18:42:00,vulture bar,not recorded,273,47,NA,not recorded,not recorded,not recorded,not recorded,1,267,56.06,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR270,2005-04-19,18:54:00,clear creek road bridge,not recorded,242,35,NA,not recorded,not recorded,not recorded,not recorded,1,267,54.94,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR271,2005-04-22,18:24:00,clear creek road bridge,not recorded,131,58,NA,not recorded,not recorded,not recorded,not recorded,1,261,56.34,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR272,2005-04-26,17:32:00,vulture bar,not recorded,120,57.5,NA,not recorded,not recorded,not recorded,not recorded,1,261,58.85,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR273,2005-04-29,16:35:00,clear creek road bridge,not recorded,62,63.5,NA,not recorded,not recorded,not recorded,not recorded,1,255,54.94,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR274,2005-05-03,15:03:00,vulture bar,not recorded,81,58,NA,not recorded,not recorded,not recorded,not recorded,1,250,59.42,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR275,2005-05-06,16:44:00,clear creek road bridge,not recorded,116,60,NA,not recorded,not recorded,not recorded,not recorded,1,281,53.82,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR276,2005-05-06,17:01:00,vulture bar,not recorded,110,60,NA,not recorded,not recorded,not recorded,not recorded,1,281,56.33,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR277,2005-05-13,15:32:00,vulture bar,not recorded,96,56.5,NA,not recorded,not recorded,not recorded,not recorded,1,319,60.56,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR278,2005-05-13,16:00:00,clear creek road bridge,not recorded,107,58,NA,not recorded,not recorded,not recorded,not recorded,1,319,58.58,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR279,2005-12-23,17:25:00,vulture bar,not recorded,186,35,NA,not recorded,not recorded,not recorded,not recorded,0,359,52.34,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR280,2005-12-23,18:01:00,clear creek road bridge,not recorded,173,36,NA,not recorded,not recorded,not recorded,not recorded,0,355,52.15,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR281,2006-01-06,21:20:00,clear creek road bridge,not recorded,392,36,NA,not recorded,not recorded,not recorded,not recorded,0,417,50.75,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR282,2006-01-11,17:00:00,clear creek road bridge,not recorded,177,37,NA,not recorded,not recorded,not recorded,not recorded,1,337,50.47,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR283,2006-01-14,18:28:00,clear creek road bridge,not recorded,198,36,NA,not recorded,not recorded,not recorded,not recorded,1,378,49.63,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR284,2006-01-20,17:40:00,vulture bar,not recorded,392,37,NA,not recorded,not recorded,not recorded,not recorded,1,378,46.77,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR285,2006-01-20,18:00:00,clear creek road bridge,not recorded,390,37,NA,not recorded,not recorded,not recorded,not recorded,1,382,47.68,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR286,2006-01-24,00:07:00,vulture bar,not recorded,395,37,NA,not recorded,not recorded,not recorded,not recorded,1,299,47.61,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR287,2006-01-24,00:30:00,clear creek road bridge,not recorded,399,37,NA,not recorded,not recorded,not recorded,not recorded,1,299,47.95,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR288,2006-01-27,16:50:00,vulture bar,not recorded,408,37,NA,not recorded,not recorded,not recorded,not recorded,1,281,47.61,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR289,2006-01-27,17:00:00,clear creek road bridge,not recorded,410,37,NA,not recorded,not recorded,not recorded,not recorded,1,287,47.4,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR290,2006-01-31,13:45:00,vulture bar,not recorded,406,37,NA,not recorded,not recorded,not recorded,not recorded,1,437,47.05,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR291,2006-01-31,14:04:00,clear creek road bridge,not recorded,401,37,NA,not recorded,not recorded,not recorded,not recorded,1,433,47.95,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR292,2006-02-03,17:45:00,clear creek road bridge,not recorded,354,37,NA,not recorded,not recorded,not recorded,not recorded,1,425,51.31,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR293,2006-02-03,18:00:00,vulture bar,not recorded,359,37,NA,not recorded,not recorded,not recorded,not recorded,1,425,50.96,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR294,2006-02-07,16:10:00,vulture bar,not recorded,315,36,NA,not recorded,not recorded,not recorded,not recorded,1,326,50.12,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR295,2006-02-07,16:30:00,clear creek road bridge,not recorded,315,36,NA,not recorded,not recorded,not recorded,not recorded,1,326,49.35,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR296,2006-02-10,19:02:00,vulture bar,not recorded,372,36,NA,not recorded,not recorded,not recorded,not recorded,1,293,49,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR297,2006-02-10,19:24:00,clear creek road bridge,not recorded,412,36.5,NA,not recorded,not recorded,not recorded,not recorded,1,293,49.63,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR298,2006-02-17,16:48:00,vulture bar,not recorded,393,36,NA,not recorded,not recorded,not recorded,not recorded,1,267,47.33,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR299,2006-02-17,17:06:00,clear creek road bridge,not recorded,399,37,NA,not recorded,not recorded,not recorded,not recorded,1,267,47.12,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR300,2006-02-24,19:26:00,vulture bar,not recorded,407,37,NA,not recorded,not recorded,not recorded,not recorded,1,253,47.88,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR301,2006-02-24,19:45:00,clear creek road bridge,not recorded,417,37,NA,not recorded,not recorded,not recorded,not recorded,1,253,48.51,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR302,2006-03-03,18:15:00,vulture bar,not recorded,396,37,NA,not recorded,not recorded,not recorded,not recorded,1,405,47.05,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR303,2006-03-03,18:33:00,clear creek road bridge,not recorded,401,37,NA,not recorded,not recorded,not recorded,not recorded,1,405,47.12,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR304,2006-03-10,18:18:00,vulture bar,not recorded,415,36,NA,not recorded,not recorded,not recorded,not recorded,1,409,45.66,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR305,2006-03-10,18:34:00,clear creek road bridge,not recorded,425,36,NA,not recorded,not recorded,not recorded,not recorded,1,405,46.01,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR306,2006-03-17,18:14:00,vulture bar,not recorded,412,37,NA,not recorded,not recorded,not recorded,not recorded,1,521,50.4,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR307,2006-03-17,18:27:00,clear creek road bridge,not recorded,408,37,NA,not recorded,not recorded,not recorded,not recorded,1,516,50.47,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR308,2006-03-21,16:30:00,vulture bar,not recorded,299,37,NA,not recorded,not recorded,not recorded,not recorded,1,441,47.88,NA,FALSE,yes,NA,NA,NA
clear creek,ucc,CLR309,2006-03-21,16:45:00,clear creek road bridge,not recorded,297,37,NA,not recorded,not recorded,not recorded,not recorded,1,441,48.23,NA,FALSE,yes,NA,NA,NA
clear creek,lcc,CLR310,2006-03-29,18:40:00,vulture bar,not recorded,140,37,NA,not recorded,not recorded,not recorded,not recorded,1,409,49,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR311,2006-03-29,18:55:00,clear creek road bridge,not recorded,135,37,NA,not recorded,not recorded,not recorded,not recorded,1,409,49.07,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR312,2006-04-04,20:00:00,vulture bar,not recorded,177,37,NA,not recorded,not recorded,not recorded,not recorded,1,547,50.12,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR313,2006-04-04,20:16:00,clear creek road bridge,not recorded,177,36,NA,not recorded,not recorded,not recorded,not recorded,1,547,50.19,NA,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR314,2006-04-18,18:12:00,vulture bar,not recorded,135,37,NA,not recorded,not recorded,not recorded,not recorded,1,450,54.3,NA,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR315,2006-12-13,16:33:00,clear creek road bridge,not recorded,485,35,NA,not recorded,not recorded,not recorded,not recorded,0,278,49.688,NA,TRUE,yes,NA,NA,NA
