date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-03-09,7422,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-10,6451,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-11,5090,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-12,4351,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-13,4182,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-14,3902,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-15,3902,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-16,4331,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-17,4960,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-18,5200,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-19,6292,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-20,7932,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-21,9532,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-22,10740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-23,10630,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-24,8220,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-25,5662,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-26,5512,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-27,5422,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-28,5052,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-29,5010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-30,5021,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-03-31,5030,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-01,5060,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-02,5740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-03,11530,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-04,15790,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-05,16090,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-06,16190,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-07,15900,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-08,16090,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-09,16040,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-10,16000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-11,15940,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-12,15890,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-13,15830,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-14,16040,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-15,16130,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-16,15990,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-17,16110,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-18,14790,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-19,15210,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-20,14530,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-21,14850,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-22,14220,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-23,14430,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
