date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1980-03-19,8048,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-20,6710,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-21,6045,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-22,5054,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-23,4145,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-24,4035,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-25,3016,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-26,2972,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-27,2987,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-28,2998,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-29,2999,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-30,2995,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-03-31,2977,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-01,2516,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-02,2522,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-03,2534,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-04,2515,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-05,2289,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-06,2134,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-07,1920,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-08,1913,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-09,1726,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-10,1524,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-11,1330,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-12,1213,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-13,1226,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-14,1229,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-15,1221,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-16,1229,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-17,1221,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-18,1225,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-19,1226,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-20,1217,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-21,1212,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-22,1205,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-23,1235,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-24,1208,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-25,1212,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-26,1211,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-27,1201,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-28,1212,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-29,1194,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-04-30,1213,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-01,1206,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-02,1217,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-03,1224,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-04,1310,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-05,1327,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-06,1310,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-07,1307,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-08,1314,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-09,1303,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-10,1318,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-11,1301,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-12,1300,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-13,1298,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-14,1301,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-15,1312,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-16,1330,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-17,1332,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-18,1339,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-19,1339,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-20,1329,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-21,1321,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-22,1326,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-23,1315,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-24,1315,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-25,1392,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-26,1393,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-27,1338,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-28,1434,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-29,1432,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-30,1414,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-05-31,1435,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-01,1416,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-02,1401,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-03,1417,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-04,1441,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-05,1420,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-06,2179,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-07,3070,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-08,3721,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-09,3710,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-10,4540,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-11,5258,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-12,5761,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-13,5742,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-14,5590,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-15,5743,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-16,5685,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-17,5684,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-18,5670,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-19,5734,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-20,5733,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-21,5754,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-22,5744,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-23,5735,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-24,5742,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-25,5740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-26,5750,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-27,5754,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-28,5348,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-29,4677,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-06-30,4781,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-01,4050,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-02,3722,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-03,3101,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-04,2769,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-05,2770,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-06,2759,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-07,2759,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-08,2748,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-09,2770,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-10,2759,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-11,2741,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-12,2688,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-13,2709,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-14,2812,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-15,3230,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-16,3248,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-17,3332,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-18,4095,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-19,4252,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-20,4274,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-21,4274,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-22,4272,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-23,4285,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-24,4284,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-25,4280,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-26,4275,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-27,4262,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-28,4286,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-29,4272,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-30,4264,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-07-31,4287,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-01,4274,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-02,4245,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-03,4265,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-04,4276,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-05,4256,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-06,4285,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-07,4236,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-08,3735,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-09,3753,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-10,3740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-11,3740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-12,3241,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-13,3219,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-14,3197,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-15,3238,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-16,3240,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-17,2700,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-18,2729,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-19,2707,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-20,2739,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-21,2716,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-22,2740,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-23,2717,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-24,2257,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-25,2258,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-26,2257,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-27,2245,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-28,2245,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-29,2234,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-30,2247,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-08-31,2247,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-01,2237,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-02,2271,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-03,2262,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-04,2024,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-05,1855,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-06,1734,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-07,1734,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-08,1746,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-09,1734,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-10,1723,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-11,1747,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-12,1716,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-13,1674,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-14,1686,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-15,1676,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-16,1674,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-17,1693,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-18,1681,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-19,1661,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-20,1654,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-21,1675,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-22,1674,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-23,1684,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-24,1694,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-25,1694,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-26,1672,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-27,1670,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-28,1683,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-29,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-09-30,1679,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-01,1801,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-02,1815,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-03,1812,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-04,1800,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-05,1798,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-06,1819,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-07,1795,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-08,1801,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-09,1810,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-10,1782,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-11,1782,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-12,1751,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-13,1745,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-14,1735,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-15,1724,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-16,1703,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-17,1708,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-18,1674,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-19,1678,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-20,1712,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-21,1705,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-22,1696,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-23,1688,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-24,1682,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-25,1700,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-26,1680,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-27,1697,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-28,1703,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-29,1699,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-30,1706,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-10-31,1679,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-01,1675,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-02,1664,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-03,1687,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-04,1686,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-05,1691,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-06,1696,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-07,1695,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-08,1685,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-09,1685,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-10,1684,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-11,1687,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-12,1682,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-13,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-14,1684,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-15,1685,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-16,1684,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-17,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-18,1693,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-19,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-20,1693,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-21,1705,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-22,1686,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-23,1669,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-24,1679,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-25,1700,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-26,1700,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-27,1679,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-28,1679,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-29,1671,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-11-30,1671,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-01,1696,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-02,1707,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-03,1721,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-04,1697,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-05,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-06,1702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-07,1689,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-08,1689,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-09,1688,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-10,1677,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-11,1687,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-12,1698,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-13,1677,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-14,1676,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-15,1697,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-16,1687,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-17,1699,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-18,1714,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-19,1702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-20,1681,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-21,1670,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-22,1691,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-23,1701,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-24,1723,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-25,1690,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-26,1702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-27,1681,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-28,1672,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-29,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-30,1713,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1980-12-31,1705,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-01,1683,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-02,1683,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-03,1683,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-04,1681,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-05,1702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-06,1715,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-07,1702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-08,1691,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1981-01-09,1692,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
