projectDescriptionID,trapVisitID,siteName,subSiteName,visitTime,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
NA,NA,parrot-phelan,pp rst,1995-12-01T09:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1995-12-01T09:30:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1995-12-04T09:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1995-12-04T09:00:00Z,continue trapping,not recorded,not recorded,NA,3.1,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1995-12-06T09:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,NA,1995-12-06T09:00:00Z,continue trapping,not recorded,not recorded,NA,3.2,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1995-12-06T10:00:00Z,continue trapping,not recorded,not recorded,NA,3.2,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1995-12-10T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1995-12-10T09:00:00Z,continue trapping,not recorded,not recorded,NA,3.6,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-12T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-01-12T09:15:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-23T08:30:00Z,continue trapping,not recorded,not recorded,NA,3.6,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-01-23T09:45:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-24T09:30:00Z,continue trapping,not recorded,not recorded,NA,3.7,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-25T08:00:00Z,end trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-01-27T12:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-27T10:30:00Z,end trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-01-30T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-01-30T09:00:00Z,continue trapping,not recorded,not recorded,NA,3.7,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-01T09:00:00Z,continue trapping,not recorded,not recorded,NA,3.4,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-01T09:45:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-02T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-02T09:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-15T10:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-15T08:30:00Z,start trapping,not recorded,not recorded,NA,0,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-16T08:30:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-16T10:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-17T10:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-17T10:20:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-02-18T10:15:00Z,continue trapping,not recorded,not recorded,NA,2.9,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-02-18T11:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-15T07:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-15T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-16T08:00:00Z,continue trapping,not recorded,not recorded,NA,3,3,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,NA,1996-03-16T09:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-16T07:00:00Z,end trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-17T08:00:00Z,continue trapping,not recorded,not recorded,NA,5.8,5.8,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-18T09:00:00Z,continue trapping,not recorded,not recorded,NA,5.4,5.4,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-19T08:30:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-19T09:30:00Z,continue trapping,not recorded,not recorded,NA,6.1,6.1,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-20T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-20T08:45:00Z,continue trapping,not recorded,not recorded,NA,5.8,5.8,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-21T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-21T08:00:00Z,continue trapping,not recorded,not recorded,NA,5.7,5.7,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-22T09:30:00Z,continue trapping,not recorded,not recorded,NA,5.9,5.9,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-22T10:15:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-23T09:45:00Z,continue trapping,not recorded,not recorded,NA,6.1,6.1,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-23T10:30:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-24T09:00:00Z,continue trapping,not recorded,not recorded,NA,6,6,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-25T08:15:00Z,continue trapping,not recorded,not recorded,NA,6.2,6.2,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-26T08:30:00Z,continue trapping,not recorded,not recorded,NA,5.8,5.8,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-27T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-27T08:00:00Z,continue trapping,not recorded,not recorded,NA,6.1,6.1,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-28T08:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-28T08:00:00Z,continue trapping,not recorded,not recorded,NA,6,6,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-29T09:00:00Z,continue trapping,not recorded,not recorded,NA,6,6,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-30T09:00:00Z,continue trapping,not recorded,not recorded,NA,6.2,6.2,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-30T09:30:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-03-31T09:15:00Z,continue trapping,not recorded,not recorded,NA,6,6,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,canal trap box,1996-03-31T10:00:00Z,continue trapping,not recorded,not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-04-01T09:00:00Z,continue trapping,not recorded,not recorded,NA,5.8,5.8,Yes,NA,NA,NA,NA
NA,NA,parrot-phelan,pp rst,1996-04-02T08:00:00Z,continue trapping,not recorded,not recorded,NA,6.2,0,Yes,NA,NA,NA,NA
