"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","rl","WY2","WY3","firstCap","length.z","weight.z","k.z","lastCap","dist_rlwoodson","dist_woodsonbutte","dist_buttesac","dist_sacdelta","dist_rlwoodson.z","dist_woodsonbutte.z","dist_buttesac.z","dist_sacdelta.z"
"CFC2013-021",11100,"ColemanFall_2013",80,6.38,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00124609375,2013,"1S",0,1,1,-1.11601420159024,-0.643505567717494,1.0430756937977,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-022",11100,"ColemanFall_2013",92,9.02,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00115835867510479,2013,"1S",0,1,1,0.827117945329845,0.716934473287717,0.135714298144409,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-023",11111,"ColemanFall_2013",84,6.86,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00115740740740741,2013,"1S",0,1,1,-0.468303485950209,-0.396152832989273,0.125876230683185,5,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-024",11100,"ColemanFall_2013",84,6.02,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00101568405139834,2013,"1S",0,1,1,-0.468303485950209,-0.829020118763659,-1.33983519953613,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-025",11100,"ColemanFall_2013",82,6.76,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00122604140972998,2013,"1S",0,1,1,-0.792158843770223,-0.447684652724319,0.835693190559947,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-026",11100,"ColemanFall_2013",84,6.22,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00104942770759097,2013,"1S",0,1,1,-0.468303485950209,-0.725956479293567,-0.99085628757921,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-027",11110,"ColemanFall_2013",84,6.38,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00107642263254508,2013,"1S",0,1,1,-0.468303485950209,-0.643505567717494,-0.711673158013613,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-028",11111,"ColemanFall_2013",85,7.52,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00122450641156116,2013,"1S",0,1,1,-0.306375807040202,-0.0560428227379708,0.819818147625872,5,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-029",11000,"ColemanFall_2013",85,6.08,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.000990026460411154,2013,"1S",0,1,1,-0.306375807040202,-0.798101026922631,-1.60518754117419,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-030",11111,"ColemanFall_2013",85,6.31,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00102747811927539,2013,"1S",0,1,1,-0.306375807040202,-0.679577841532026,-1.21786024365752,5,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-031",11110,"ColemanFall_2013",86,6.89,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00108323795389085,2013,"1S",0,1,1,-0.144448128130196,-0.38069328706876,-0.641188696747585,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-032",11100,"ColemanFall_2013",86,6.56,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00103135572968418,2013,"1S",0,1,1,-0.144448128130196,-0.550748292194411,-1.17775776472852,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-033",11000,"ColemanFall_2013",87,7.06,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00107212875264046,2013,"1S",0,1,1,0.0174795507798112,-0.293089193519182,-0.756080720982892,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-034",11000,"ColemanFall_2013",85,6.55,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00106655811113373,2013,"1S",0,1,1,-0.306375807040202,-0.555901474167916,-0.813692628857455,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-035",11100,"ColemanFall_2013",87,6.86,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.0010417568333022,2013,"1S",0,1,1,0.0174795507798112,-0.396152832989273,-1.07018892858798,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-036",10110,"ColemanFall_2013",84,6.32,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00106629953568729,2013,"1S",0,1,1,-0.468303485950209,-0.674424659558521,-0.816366831600699,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-037",11100,"ColemanFall_2013",88,7.03,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00103159043951916,2013,"1S",0,1,1,0.179407229689818,-0.308548739439695,-1.1753303815674,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-038",11000,"ColemanFall_2013",84,6.15,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00103761742792355,2013,"1S",0,1,1,-0.468303485950209,-0.762028753108099,-1.11299890676413,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-039",11100,"ColemanFall_2013",88,7.35,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00107854761457551,2013,"1S",0,1,1,0.179407229689818,-0.143646916287549,-0.689696466671271,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-040",11100,"ColemanFall_2013",89,6.91,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.000980184944302515,2013,"1S",0,1,1,0.341334908599825,-0.37038692312175,-1.70696908980049,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-041",11000,"ColemanFall_2013",84,6.33,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00106798671849692,2013,"1S",0,1,1,-0.468303485950209,-0.669271477585016,-0.798917886002867,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-042",10100,"ColemanFall_2013",81,6,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00112900585389535,2013,"1S",0,1,1,-0.954086522680229,-0.839326482710668,-0.167854335617741,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-043",11100,"ColemanFall_2013",90,7.25,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.000994513031550069,2013,"1S",0,1,1,0.503262587509831,-0.195178736022594,-1.55878715392695,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-044",11111,"ColemanFall_2013",87,6.81,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00103416385346764,2013,"1S",0,1,1,0.0174795507798112,-0.421918742856797,-1.1487159804892,5,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-045",11100,"ColemanFall_2013",83,6.38,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00111580011437826,2013,"1S",0,1,1,-0.630231164860216,-0.643505567717494,-0.304428884088488,3,91.8,88,170,110,0.918,0.88,1.7,1.1
