year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2005,2005,2,feather river,herringer riffle,1169,29,-0.22674356114738392,0
2005,2005,3,feather river,eye riffle,997,15,-0.2308002710855685,0
2005,2005,3,feather river,herringer riffle,996,67,-0.22674356114738392,0
2005,2005,4,feather river,eye riffle,993,5,-0.2308002710855685,0
2005,2005,4,feather river,herringer riffle,1995,80,-0.22674356114738392,0
2005,2005,5,feather river,eye riffle,996,4,-0.2308002710855685,0
2005,2005,5,feather river,herringer riffle,1000,60,-0.22674356114738392,0
2005,2005,6,feather river,eye riffle,5019,44,-0.2308002710855685,0
2005,2005,6,feather river,herringer riffle,996,25,-0.22674356114738392,0
2005,2005,7,feather river,eye riffle,4127,20,-0.2308002710855685,0
2005,2005,7,feather river,herringer riffle,1977,57,-0.22674356114738392,0
2005,2005,8,feather river,eye riffle,1981,1,-0.2308002710855685,0
2005,2005,9,feather river,eye riffle,1999,0,-0.2308002710855685,0
2005,2005,9,feather river,herringer riffle,997,30,-0.22674356114738392,0
2005,2005,10,feather river,eye riffle,1954,22,-0.2308002710855685,0
2005,2005,10,feather river,herringer riffle,1999,75,-0.22674356114738392,0
2005,2005,11,feather river,eye riffle,1735,10,-0.2308002710855685,0
2005,2005,11,feather river,herringer riffle,998,84,-0.22674356114738392,0
2005,2005,12,feather river,eye riffle,788,4,-0.2308002710855685,0
2005,2005,12,feather river,herringer riffle,2514,24,-0.22674356114738392,0
2005,2005,13,feather river,herringer riffle,1049,24,-0.22674356114738392,0
2005,2005,14,feather river,eye riffle,633,1,-0.2308002710855685,0
2005,2005,15,feather river,herringer riffle,257,4,-0.22674356114738392,0
2005,2005,16,feather river,herringer riffle,403,2,-0.22674356114738392,0
2005,2005,17,feather river,herringer riffle,314,4,-0.22674356114738392,0
2005,2005,19,feather river,herringer riffle,346,6,-0.22674356114738392,0
2005,2006,50,feather river,eye riffle,466,10,-0.2308002710855685,0
2005,2006,51,feather river,eye riffle,990,19,-0.2308002710855685,0
2006,2006,2,feather river,herringer riffle,708,2,-0.22674356114738392,0
2006,2006,3,feather river,eye riffle,1200,42,-0.2308002710855685,0
2006,2006,4,feather river,eye riffle,999,31,-0.2308002710855685,0
2006,2006,4,feather river,herringer riffle,1546,0,-0.22674356114738392,0
