week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,11.714752125608785
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.187010470294265
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,6.933396416715717
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.62362175717119
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.1281931592180845
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,4.074117067722676
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.043812633566535
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,8.837848262661717
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,6.933040232204734
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.491178622263132
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,4.916954757022607
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,4.074963772817691
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.377526435848656
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.955595467575607
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.85789164944065
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.719493811451203
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.6085633491595415
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.6818091856932895
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.37743526351667
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.58209535201606
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.124274549682534
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.721523325013937
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.380568638804759
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.281685404527544
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.710328514810918
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.556036730486094
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,8.757287907547985
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.953897541327475
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.368577618815821
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.08374027668221
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.379809249541392
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.667432601634719
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.584385058979104
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.095473487267832
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.674684665731676
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.089129960166667
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.04536606860338
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.895750319868029
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.84791848313312
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.87020256842386
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.20289199449688
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.693663057023507
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,11.376297362063386
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.09921391609345
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.480219471976609
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.4206754875172845
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.715772601553887
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.494024518988141
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.043816138959617
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.092174296886999
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.210987095646855
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.878828001065477
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.332177171600954
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.8975351205339495
7,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.37707407958181
7,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.488635749491172
7,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.939973796762192
7,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.111202217379016
7,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.5807404206513365
7,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.301469074627265
8,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.710514364867972
8,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.760826592055889
8,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.668604313366544
8,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.34154692012982
8,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.752670061160741
8,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.70540302872058
9,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.709967330876058
9,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.107579800644277
9,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.665042468256711
9,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.345605947255287
9,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.970579866794731
9,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.708366496553134
10,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.04144565832798
10,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.062502176790796
10,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.56479491087503
10,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.894049352785976
10,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.330193256769787
10,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.111567645184578
11,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,13.37648321212044
11,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.20458728963169
11,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.930356814965648
11,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.808832244710312
11,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.038558157066025
11,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.313322945957481
12,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,13.375753833464554
12,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.25309103412539
12,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.658631147059015
12,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.812383893445095
12,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.072547302201673
12,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.71852695769332
13,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,14.04363729968873
13,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.80451233846128
13,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.191396947542785
13,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,8.268506893430555
13,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.800002013173414
13,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.920819510646876
14,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.373062496974423
14,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.007975934686701
14,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.189616024987869
14,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.134034244959764
14,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.312882620230423
14,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.921242863194383
15,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,14.709879663937157
15,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.348894023590717
15,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.822629382853318
15,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,8.734270082838997
15,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.143861294192225
15,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.723721087896557
16,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,15.711568104775438
16,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,14.360873406707782
16,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.111261781624936
16,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,9.418708272012529
16,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.388661454275299
16,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.533591859187583
17,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,15.710747553787565
17,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,13.688607612972655
17,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.645096135641657
17,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,9.423274677528678
17,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.9781756698732815
17,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.734614354498614
18,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,16.377810469023864
18,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,13.935944333529488
18,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,12.37515139028994
18,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,9.883964083030287
18,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.134778588674491
18,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.1377016034969145
19,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,16.71125075431003
19,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,14.556092884204674
19,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.10485046042724
19,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,10.114816164171774
19,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.52128233309863
19,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.540365499947706
20,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,17.04469103959619
20,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,14.828283726769389
20,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.102713353361342
20,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,10.345668245313265
