stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather hfc,457,2013-03-28,11:36:00,upper feather hfc,next to herringer release boxes,170,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,458,2013-04-09,13:00:00,upper feather hfc,herringer release boxes,28,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather hfc,459,2013-04-23,15:45:00,upper feather hfc,herringer release boxes,154,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,460,2013-04-09,15:45:00,upper feather lfc,next to gateway release boxes,43,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,461,2013-04-16,12:09:00,upper feather lfc,gateway release boxes,42,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather hfc,465,2013-03-13,10:15:00,upper feather hfc,next to herringer release boxes,122,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,466,2013-03-14,11:45:00,upper feather hfc,next to herringer release boxes,313,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,467,2013-02-05,12:00:00,upper feather lfc,gateway release boxes,491,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,468,2010-12-07,11:35:00,upper feather lfc,#steep riffle_rst,995,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,469,2010-12-27,10:55:00,upper feather lfc,not recorded,999,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
