year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
1996,1996,4,sacramento river,knights landing,461,1,NA,0
1996,1996,5,sacramento river,knights landing,1012,28,NA,0
1996,1996,6,sacramento river,knights landing,780,1,NA,0
1996,1996,7,sacramento river,knights landing,1153,1,NA,0
1996,1996,8,sacramento river,knights landing,261,1,NA,0
1997,1998,52,sacramento river,knights landing,49,2,NA,0
1998,1998,2,sacramento river,knights landing,5197,44,NA,0
1998,1998,3,sacramento river,knights landing,1854,17,NA,0
1998,1998,4,sacramento river,knights landing,2356,3,NA,0
1998,1998,5,sacramento river,knights landing,1739,20,NA,0
1998,1998,6,sacramento river,knights landing,1797,10,NA,0
1998,1998,7,sacramento river,knights landing,1358,4,NA,0
1998,1998,8,sacramento river,knights landing,861,2,NA,0
1998,1998,9,sacramento river,knights landing,1557,13,NA,0
1998,1998,10,sacramento river,knights landing,916,10,NA,0
1998,1998,11,sacramento river,knights landing,682,7,NA,0
1998,1998,12,sacramento river,knights landing,5327,138,NA,0
1998,1998,13,sacramento river,knights landing,1618,11,NA,0
1998,1998,14,sacramento river,knights landing,311,1,NA,0
1998,1998,15,sacramento river,knights landing,227,1,NA,0
1998,1998,16,sacramento river,knights landing,295,0,NA,0
1998,1998,17,sacramento river,knights landing,279,1,NA,0
1998,1998,18,sacramento river,knights landing,337,1,NA,0
1998,1998,19,sacramento river,knights landing,116,2,NA,0
1998,1998,20,sacramento river,knights landing,54,0,NA,0
1998,1998,21,sacramento river,knights landing,100,0,NA,0
1998,1998,24,sacramento river,knights landing,218,0,NA,0
1998,1999,51,sacramento river,knights landing,111,0,NA,0
1998,1999,52,sacramento river,knights landing,126,0,NA,0
2000,2000,5,sacramento river,knights landing,1417,6,NA,0
2000,2000,6,sacramento river,knights landing,2291,4,NA,0
2000,2000,7,sacramento river,knights landing,6111,160,NA,0
2000,2000,8,sacramento river,knights landing,1746,30,NA,0
2000,2000,9,sacramento river,knights landing,769,6,NA,0
2000,2000,10,sacramento river,knights landing,590,4,NA,0
2000,2000,11,sacramento river,knights landing,171,0,NA,0
2000,2000,12,sacramento river,knights landing,67,0,NA,0
2000,2000,13,sacramento river,knights landing,80,0,NA,0
2000,2000,14,sacramento river,knights landing,127,0,NA,0
2000,2000,16,sacramento river,knights landing,181,0,NA,0
2000,2000,17,sacramento river,knights landing,78,3,NA,0
2001,2001,5,sacramento river,knights landing,393,2,NA,0
2001,2001,6,sacramento river,knights landing,1145,1,NA,0
2001,2001,7,sacramento river,knights landing,91,0,NA,0
2001,2001,8,sacramento river,knights landing,2546,17,NA,0
2001,2001,9,sacramento river,knights landing,1164,9,NA,0
2001,2001,10,sacramento river,knights landing,630,5,NA,0
2001,2001,11,sacramento river,knights landing,469,2,NA,0
2001,2001,13,sacramento river,knights landing,127,0,NA,0
2001,2001,17,sacramento river,knights landing,843,0,NA,0
2001,2001,18,sacramento river,knights landing,525,3,NA,0
2001,2001,19,sacramento river,knights landing,4428,2,NA,0
2001,2001,20,sacramento river,knights landing,796,4,NA,0
2006,2007,51,sacramento river,knights landing,341,0,NA,0
2006,2007,53,sacramento river,knights landing,1307,1,NA,0
2007,2007,7,sacramento river,knights landing,3701,15,NA,0
2007,2007,8,sacramento river,knights landing,1052,1,NA,0
2007,2007,9,sacramento river,knights landing,596,3,NA,0
2007,2007,18,sacramento river,knights landing,712,0,NA,0
2008,2008,1,sacramento river,knights landing,3500,0,NA,0
2008,2008,2,sacramento river,knights landing,892,9,NA,0
2008,2008,5,sacramento river,knights landing,9792,36,NA,0
2008,2008,6,sacramento river,knights landing,554,2,NA,0
