projectDescriptionID,releaseID,releaseTime,commonName,markedRun,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,IncludeInAnalysis
2,1,1999-02-04T17:00:00Z,Chinook salmon,Fall,Natural,Not recorded,Eye riffle_release site,Eye Pool Left & Right RM 60.5,3181,2,Fin clip,Not applicable (n/a),Adipose fin,,No
2,2,1999-02-16T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),1091,2,Fin clip,Not applicable (n/a),Adipose fin,,Yes
2,3,1999-03-16T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),990,3,Pigment / dye,Brown,Whole body,,Yes
2,4,1999-02-25T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),3151,4,Fin clip,Not applicable (n/a),Adipose fin,,Yes
2,5,1999-03-19T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),999,4,Pigment / dye,Brown,Whole body,,Yes
2,6,1999-03-23T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),999,3,Pigment / dye,Brown,Whole body,,Yes
2,7,1999-12-31T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),1000,3,Pigment / dye,Brown,Whole body,,Yes
2,8,2000-01-04T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),1000,3,Pigment / dye,Brown,Whole body,,Yes
2,9,2000-01-11T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),1123,3,Pigment / dye,Brown,Whole body,,Yes
2,10,2000-01-18T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),895,3,Pigment / dye,Brown,Whole body,,Yes
2,11,2000-01-24T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),1025,4,Pigment / dye,Brown,Whole body,,Yes
2,12,2000-01-31T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),940,3,Pigment / dye,Brown,Whole body,,Yes
2,13,2000-02-07T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),978,3,Pigment / dye,Brown,Whole body,,Yes
2,14,2000-02-28T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),410,2,Pigment / dye,Brown,Whole body,,Yes
2,15,1999-12-21T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),999,2,Pigment / dye,Brown,Whole body,,Yes
2,16,2000-01-05T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),990,2,Pigment / dye,Brown,Whole body,,Yes
2,17,2000-01-11T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),1167,3,Pigment / dye,Brown,Whole body,,Yes
2,18,2000-01-18T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),959,2,Pigment / dye,Brown,Whole body,,Yes
2,19,2000-01-31T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),1093,2,Pigment / dye,Brown,Whole body,,Yes
2,20,2000-02-07T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),930,2,Pigment / dye,Brown,Whole body,,Yes
2,21,2001-01-08T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),549,4,Pigment / dye,Brown,Whole body,,Yes
2,22,2001-01-24T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),470,3,Pigment / dye,Brown,Whole body,,Yes
2,23,2001-02-05T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),485,2,Pigment / dye,Flourescent red,Not recorded,,Yes
2,24,2001-02-15T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),863,2,Pigment / dye,Flourescent blue,Not recorded,,Yes
2,25,2001-02-20T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),340,7,Pigment / dye,Flourescent red,Not recorded,,Yes
2,26,2001-02-26T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),2980,7,Pigment / dye,Brown,Whole body,,Yes
2,27,2001-03-05T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),500,6,Pigment / dye,Brown,Whole body,,Yes
2,28,2001-03-12T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Eye riffle_release site,Not applicable (n/a),498,2,Pigment / dye,Brown,Whole body,,Yes
2,29,2001-01-17T17:00:00Z,Chinook salmon,Not recorded,Unknown,,Live Oak_release site,Not applicable (n/a),996,7,Pigment / dye,Brown,Whole body,,Yes
