projectDescriptionID,releaseFishID,releaseID,forkLength
2,43093,931,36.0
2,43094,931,38.0
2,43095,931,35.0
2,43096,931,36.0
2,43097,931,37.0
2,43098,931,36.0
2,43099,931,37.0
2,43100,931,36.0
2,43101,931,36.0
2,43102,931,36.0
2,43103,931,36.0
2,43104,931,36.0
2,43105,931,37.0
2,43106,931,36.0
2,43107,931,38.0
2,43108,931,34.0
2,43109,933,35.0
2,43110,933,35.0
2,43111,933,36.0
2,43112,933,36.0
2,43113,933,35.0
2,43114,933,36.0
2,43115,933,35.0
2,43116,933,36.0
2,43117,933,36.0
2,43118,933,36.0
2,43119,933,36.0
2,43120,933,37.0
2,43121,933,35.0
2,43122,933,36.0
2,43123,933,36.0
2,43124,933,37.0
2,43125,933,35.0
2,43126,933,38.0
2,43127,933,36.0
2,43128,933,37.0
2,43129,933,35.0
2,43130,933,34.0
2,43131,933,36.0
2,43132,933,35.0
2,43133,933,36.0
2,43134,933,37.0
2,43135,933,36.0
2,43136,933,36.0
2,43137,933,36.0
2,43138,933,36.0
2,43139,933,36.0
2,43140,933,35.0
2,43141,933,37.0
2,43142,933,35.0
2,43143,933,35.0
2,43144,933,37.0
2,43145,933,37.0
2,43146,933,35.0
2,43147,933,35.0
2,43148,933,39.0
2,43149,933,36.0
2,43150,933,36.0
2,43151,933,33.0
2,43152,933,33.0
2,43153,933,37.0
2,43154,933,34.0
2,43155,933,34.0
2,43156,933,37.0
2,43157,933,35.0
2,43158,933,36.0
2,43159,938,37.0
2,43160,938,34.0
2,43161,938,33.0
2,43162,938,36.0
2,43163,938,36.0
2,43164,938,34.0
2,43165,938,37.0
2,43166,938,35.0
2,43167,938,35.0
2,43168,938,36.0
2,43169,938,37.0
2,43170,938,34.0
2,43171,938,36.0
2,43172,938,33.0
2,43173,938,35.0
2,43174,938,32.0
2,43175,938,36.0
2,43176,938,33.0
2,43177,938,36.0
2,43178,938,32.0
2,43179,938,34.0
2,43180,938,35.0
2,43181,938,33.0
2,43182,938,38.0
2,43183,938,35.0
2,43184,938,34.0
2,43185,938,36.0
2,43186,938,35.0
2,43187,938,36.0
2,43188,938,34.0
2,43189,938,35.0
2,43190,938,34.0
2,43191,939,34.0
2,43192,939,33.0
2,43193,939,35.0
2,43194,939,34.0
2,43195,939,35.0
2,43196,939,35.0
2,43197,939,33.0
2,43198,939,32.0
2,43199,939,34.0
2,43200,939,32.0
2,43201,939,36.0
2,43202,939,34.0
2,43203,939,35.0
2,43204,939,34.0
2,43205,939,34.0
2,43206,939,35.0
2,43207,939,37.0
2,43208,939,35.0
2,43209,939,33.0
2,43210,939,33.0
2,43211,939,33.0
2,43212,939,34.0
2,43213,939,34.0
2,43214,939,32.0
2,43215,939,35.0
2,43216,939,34.0
2,43217,939,35.0
2,43218,939,28.0
2,43219,939,34.0
2,43220,939,35.0
2,43221,939,34.0
2,43222,939,33.0
2,43223,939,34.0
2,43224,939,36.0
2,43225,939,35.0
2,43226,939,36.0
2,43227,939,32.0
2,43228,939,36.0
2,43229,939,34.0
2,43230,939,36.0
2,43231,939,35.0
2,43232,939,34.0
2,43233,939,36.0
2,43234,939,35.0
2,43235,939,35.0
2,43236,939,35.0
2,43237,939,36.0
2,43238,939,32.0
2,43239,939,32.0
2,43240,939,36.0
2,43241,943,37.0
2,43242,943,35.0
2,43243,943,35.0
2,43244,943,40.0
2,43245,943,34.0
2,43246,943,34.0
2,43247,943,36.0
2,43248,943,35.0
2,43249,943,34.0
2,43250,943,37.0
2,43251,943,34.0
2,43252,943,36.0
2,43253,943,35.0
2,43254,943,35.0
2,43255,943,35.0
2,43256,943,34.0
2,43257,943,34.0
2,43258,943,35.0
2,43259,943,37.0
2,43260,943,37.0
2,43261,943,35.0
2,43262,943,32.0
2,43263,943,35.0
2,43264,943,39.0
2,43265,943,37.0
2,43266,943,38.0
2,43267,943,37.0
2,43268,943,35.0
2,43269,943,41.0
2,43270,943,32.0
2,43271,943,34.0
2,43272,943,34.0
2,43273,943,34.0
2,43274,943,34.0
2,43275,943,33.0
2,43276,943,36.0
2,43277,943,35.0
2,43278,943,35.0
2,43279,943,34.0
2,43280,943,37.0
2,43281,943,34.0
2,43282,943,36.0
2,43283,943,34.0
2,43284,943,38.0
2,43285,943,36.0
2,43286,943,35.0
2,43287,943,38.0
2,43288,943,36.0
2,43289,943,36.0
2,43290,943,34.0
