record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
T,4.2,20251113,USFWS,USFWS,07,056735,12,,,,,1,7,2023,20231218,20231218,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,S,H,P,FR,42.39,145,N,5000,66881,0000,2787,,,,,C,0,183,200,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,056736,12,,,,,1,7,2023,20231218,20231218,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,S,H,P,FR,43.2,143,N,5000,63942,0000,5684,5000,1066,0000,355,C,0.02,183,200,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050079,12,,,,,1,3,2023,20240327,20240327,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,5.07,76,N,5000,103862,0000,587,0000,313639,,,C,0,21,356,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,056689,12,,,,,1,7,2023,20231222,20231222,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,39.79,147,N,5000,59847,0000,607,5000,304,,,C,0.005,191,200,,Spring Surrogate,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,056690,12,,,,,1,7,2023,20231229,20231229,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,34.62,154,N,5000,69251,0000,1421,5000,355,,,C,0.005,191,200,,Spring Surrogate,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,056691,12,,,,,1,7,2023,20240111,20240111,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,33.75,148,N,5000,66683,,,5000,335,,,C,0.005,204,200,,Spring Surrogate,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050070,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.84,76,N,5000,93391,,,0000,282559,,,C,0.005,27,397,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050071,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.68,74,N,5000,74875,,,5000,1023,0000,227996,C,0.0135,23,371,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050072,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.99,76,N,5000,71725,,,0000,216115,,,C,0.0027,21,375,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050074,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.93,74,N,5000,96993,0000,242,5000,242,0000,293602,C,0.005,26,403,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050075,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.25,73,N,5000,92284,0000,474,5000,237,0000,279241,C,0.0026,21,392,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050076,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,3.86,71,N,5000,77804,0000,956,0000,236348,,,C,0,21,412,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20251113,USFWS,USFWS,07,050077,12,,,,,1,3,2023,20240321,20240321,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,3.9,69,N,5000,105452,0000,280,5000,561,0000,319050,C,0.0053,25,379,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
