record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,
T,4.1,8/3/2006,CDFW,CDFW,8,0601120310,3,,,,,1,1,1999,1/10/2000,1/19/2000,6FCSABUT BALD,,6FCSABUT,,W,E,,,38,N,5000,11508,,,5000,273,,,,0.0232,1,,,,BALDWIN CONST. YARD,NA,BUTTE CREEK,CA,SAFA,SACR,C,0.954164706
T,4.1,8/3/2006,CDFW,CDFW,8,0601120311,3,,,,,1,1,1999,1/19/2000,1/28/2000,6FCSABUT BALD,,6FCSABUT,,W,E,,,37,N,5000,10081,,,5000,645,,,,0.0601,1,,,,BALDWIN CONST. YARD,NA,BUTTE CREEK,CA,SAFA,SACR,C,0.883379815
T,4.1,8/3/2006,CDFW,CDFW,8,0601120308,3,,,,,1,1,1999,12/6/1999,12/29/1999,6FCSABUT BALD,,6FCSABUT,,W,E,,,37,N,5000,4962,,,5000,350,,,,0.0659,1,,,,BALDWIN CONST. YARD,NA,BUTTE CREEK,CA,SAFA,SACR,C,0.872553502
T,4.1,8/3/2006,CDFW,CDFW,8,064103,0,,,,,1,3,1978,11/20/1979,11/21/1979,6MOSFTIB NET,6MOSFTIB NTPN,6FCSAFEA,Y,H,E,,72,,N,5000,3163,,,5000,373,,,,0.1055,53,,,,TIBURON NET PENS,TIBURON NET PENS,FEATHER RIVER,CA,CECA,SFBA,C,0.800142393
T,4.1,8/3/2006,CDFW,CDWR,8,0601060404,3,,,,,1,3,1998,3/2/1999,3/2/1999,6FCSASBF ISLE,6FCSAFEA FRFH,6FCSAFEA,F,H,E,,1.07,50,N,5000,50864,,,5000,1845,,,,0.035,8,,,,SAC R AT ISLETON,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,SACR,C,0.931221613
T,4.1,8/3/2006,CDFW,CDFW,8,066223,0,,,,,1,3,1982,5/20/1983,5/20/1983,6FCSASBF ISLE,6FCSAFEA FRFH,6FCSAFEA,G,H,E,,5.89,,N,5000,92693,,,5000,7407,,,,0.074,19,,,,SAC R AT ISLETON,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,SACR,C,0.8574797
T,4.1,3/28/2002,USFWS,USFWS,7,0501010714,3,,,,,1,4,1992,1/27/1993,1/27/1993,6FCSASAF NSAN,6FCSABAT CNFH,6FCSA,P,H,E,,8.34,91,N,5000,1055,,,,,,,C,0,34,100,,,SAC R NORTH ST ANDERSON,COLEMAN NFH,SAC R AB COLLINSVILLE,CA,SAFA,SACR,C,1
T,4.1,3/28/2002,USFWS,USFWS,7,0501010609,3,,,,,1,4,1992,1/27/1993,1/27/1993,6FCSASAF NSAN,6FCSABAT CNFH,6FCSA,P,H,E,,8.89,93,N,5000,1588,,,,,,,C,0,34,101,,,SAC R NORTH ST ANDERSON,COLEMAN NFH,SAC R AB COLLINSVILLE,CA,SAFA,SACR,C,1
T,4.1,3/28/2002,USFWS,USFWS,7,0501010610,3,,,,,1,4,1992,1/27/1993,1/27/1993,6FCSASAF NSAN,6FCSABAT CNFH,6FCSA,P,H,E,,8.89,93,N,5000,1215,,,,,,,C,0,35,100,,,SAC R NORTH ST ANDERSON,COLEMAN NFH,SAC R AB COLLINSVILLE,CA,SAFA,SACR,C,1
T,4.1,3/28/2002,USFWS,USFWS,7,0501010612,3,,,,,1,4,1992,1/27/1993,1/27/1993,6FCSASAF NSAN,6FCSABAT CNFH,6FCSA,P,H,E,,10.08,97,N,5000,880,,,,,,,C,0,35,100,,,SAC R NORTH ST ANDERSON,COLEMAN NFH,SAC R AB COLLINSVILLE,CA,SAFA,SACR,C,1
