log_id,date_identified,data_type,stream,site,run_year,issue_type,field,description,n_records,severity,alert_level,status,reviewer_notes,date_resolved,fix_script
rst__battle_creek__ubc__1999__extreme_value__count,2026-07-29,rst,battle creek,ubc,1999,extreme_value,count,Total catch of 37495 in run year 1999 at ubc (battle creek) is 24.6x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2000__extreme_value__count,2026-07-29,rst,battle creek,ubc,2000,extreme_value,count,Total catch of 11558 in run year 2000 at ubc (battle creek) is 7.6x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2004__extreme_value__count,2026-07-29,rst,battle creek,ubc,2004,extreme_value,count,Total catch of 11010 in run year 2004 at ubc (battle creek) is 7.2x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2010__extreme_value__count,2026-07-29,rst,battle creek,ubc,2010,extreme_value,count,Total catch of 7605 in run year 2010 at ubc (battle creek) is 5x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2014__extreme_value__count,2026-07-29,rst,battle creek,ubc,2014,extreme_value,count,Total catch of 7737 in run year 2014 at ubc (battle creek) is 5.1x the site median (1523),1,minor,error,open,,,
rst__butte_creek__okie_dam__1999__extreme_value__count,2026-07-29,rst,butte creek,okie dam,1999,extreme_value,count,Total catch of 375222 in run year 1999 at okie dam (butte creek) is 4.6x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2001__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2001,extreme_value,count,Total catch of 696955 in run year 2001 at okie dam (butte creek) is 8.5x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2002__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2002,extreme_value,count,Total catch of 369493 in run year 2002 at okie dam (butte creek) is 4.5x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2004__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2004,extreme_value,count,Total catch of 339706 in run year 2004 at okie dam (butte creek) is 4.1x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2005__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2005,extreme_value,count,Total catch of 736669 in run year 2005 at okie dam (butte creek) is 9x the site median (81964.5),1,minor,error,open,,,
