week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
32,2001,clear creek,LCC,USFWS,clear creek,temperature,min,17.11
33,2001,clear creek,LCC,USFWS,clear creek,temperature,max,22.49
33,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,19.438380825734548
33,2001,clear creek,LCC,USFWS,clear creek,temperature,min,16.16
34,2001,clear creek,LCC,USFWS,clear creek,temperature,max,22.66
34,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,19.429340805471124
34,2001,clear creek,LCC,USFWS,clear creek,temperature,min,16.47
35,2001,clear creek,LCC,USFWS,clear creek,temperature,max,23.16
35,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,19.96028052178318
35,2001,clear creek,LCC,USFWS,clear creek,temperature,min,16.79
36,2001,clear creek,LCC,USFWS,clear creek,temperature,max,21.99
36,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,17.992508865248226
36,2001,clear creek,LCC,USFWS,clear creek,temperature,min,14.57
37,2001,clear creek,LCC,USFWS,clear creek,temperature,max,19.86
37,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,16.46961056231003
37,2001,clear creek,LCC,USFWS,clear creek,temperature,min,13.49
38,2001,clear creek,LCC,USFWS,clear creek,temperature,max,19.04
38,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,16.19759561803445
38,2001,clear creek,LCC,USFWS,clear creek,temperature,min,13.95
39,2001,clear creek,LCC,USFWS,clear creek,temperature,max,17.74
39,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,15.07605749746707
39,2001,clear creek,LCC,USFWS,clear creek,temperature,min,13.03
40,2001,clear creek,LCC,USFWS,clear creek,temperature,max,17.58
40,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,14.787756458966566
40,2001,clear creek,LCC,USFWS,clear creek,temperature,min,13.03
41,2001,clear creek,LCC,USFWS,clear creek,temperature,max,15.52
41,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,13.397935030395136
41,2001,clear creek,LCC,USFWS,clear creek,temperature,min,11.63
42,2001,clear creek,LCC,USFWS,clear creek,temperature,max,14.57
42,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,12.854400962512665
42,2001,clear creek,LCC,USFWS,clear creek,temperature,min,11.32
43,2001,clear creek,LCC,USFWS,clear creek,temperature,max,13.64
43,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,12.086973784194528
43,2001,clear creek,LCC,USFWS,clear creek,temperature,min,10.86
44,2001,clear creek,LCC,USFWS,clear creek,temperature,max,13.18
44,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,11.688361828774061
44,2001,clear creek,LCC,USFWS,clear creek,temperature,min,10.24
45,2001,clear creek,LCC,USFWS,clear creek,temperature,max,12.25
45,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,11.13695858662614
45,2001,clear creek,LCC,USFWS,clear creek,temperature,min,9.61
46,2001,clear creek,LCC,USFWS,clear creek,temperature,max,12.56
46,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,12.017777777777779
46,2001,clear creek,LCC,USFWS,clear creek,temperature,min,11.78
47,2001,clear creek,LCC,USFWS,clear creek,temperature,max,12.25
47,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,10.865483894799056
47,2001,clear creek,LCC,USFWS,clear creek,temperature,min,9.31
48,2001,clear creek,LCC,USFWS,clear creek,temperature,max,10.39
48,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,9.562544959473149
48,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.53
49,2001,clear creek,LCC,USFWS,clear creek,temperature,max,10.55
49,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,9.381036600810537
49,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.23
50,2001,clear creek,LCC,USFWS,clear creek,temperature,max,8.99
50,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,8.165782674772037
50,2001,clear creek,LCC,USFWS,clear creek,temperature,min,7.15
51,2001,clear creek,LCC,USFWS,clear creek,temperature,max,9.77
51,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,8.967133358662613
51,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.38
52,2001,clear creek,LCC,USFWS,clear creek,temperature,max,10.24
52,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,9.189605496453899
52,2001,clear creek,LCC,USFWS,clear creek,temperature,min,7.77
53,2001,clear creek,LCC,USFWS,clear creek,temperature,max,10.71
53,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,10.454583333333334
53,2001,clear creek,LCC,USFWS,clear creek,temperature,min,10.24
1,2002,clear creek,LCC,USFWS,clear creek,temperature,max,11.32
1,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,9.927568389057752
