year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2017,2017,5,battle creek,ubc,554,21,NA,0
2018,2018,3,battle creek,ubc,333,11,NA,0
2018,2018,5,battle creek,ubc,411,25,NA,0
2018,2018,7,battle creek,ubc,299,11,NA,0
2018,2018,11,battle creek,ubc,402,18,NA,0
2018,2018,14,battle creek,ubc,499,21,NA,0
2019,2019,1,battle creek,ubc,224,25,NA,0
2019,2019,6,battle creek,ubc,300,22,NA,0
2019,2019,13,battle creek,ubc,299,1,NA,0
2020,2020,4,battle creek,ubc,208,1,NA,0
2020,2020,6,battle creek,ubc,906,43,NA,0
2020,2020,8,battle creek,ubc,1143,16,NA,0
2020,2021,45,battle creek,ubc,332,47,NA,0
2020,2021,46,battle creek,ubc,336,42,NA,0
2020,2021,51,battle creek,ubc,295,10,NA,0
2021,2021,5,battle creek,ubc,404,3,NA,0
2021,2021,6,battle creek,ubc,298,11,NA,0
2021,2021,9,battle creek,ubc,320,14,NA,0
2021,2021,10,battle creek,ubc,449,0,NA,0
2021,2021,15,battle creek,ubc,287,13,NA,0
2021,2022,52,battle creek,ubc,299,12,NA,0
2022,2022,3,battle creek,ubc,309,16,NA,0
2022,2022,4,battle creek,ubc,311,10,NA,0
2022,2022,5,battle creek,ubc,306,11,NA,0
2022,2022,6,battle creek,ubc,422,14,NA,0
2022,2022,15,battle creek,ubc,311,45,NA,0
2022,2022,17,battle creek,ubc,252,36,NA,0
2022,2022,43,battle creek,ubc,438,5,NA,0
2022,2023,45,battle creek,ubc,350,7,NA,0
2022,2023,46,battle creek,ubc,553,13,NA,0
2023,2023,6,battle creek,ubc,509,40,NA,0
2023,2023,9,battle creek,ubc,306,18,NA,0
2023,2023,10,battle creek,ubc,414,18,NA,0
2023,2023,15,battle creek,ubc,408,30,NA,0
2023,2023,40,battle creek,ubc,429,9,NA,0
2023,2023,41,battle creek,ubc,410,26,NA,0
2023,2023,43,battle creek,ubc,444,8,NA,0
2024,2024,11,battle creek,ubc,523,23,NA,0
2024,2024,13,battle creek,ubc,496,17,NA,0
2024,2024,14,battle creek,ubc,504,14,NA,0
2025,2025,4,battle creek,ubc,461,0,NA,0
2025,2026,47,battle creek,ubc,280,7,NA,0
2025,2026,49,battle creek,ubc,256,1,NA,0
2025,2026,50,battle creek,ubc,254,4,NA,0
2026,2026,3,battle creek,ubc,1025,51,NA,0
2026,2026,4,battle creek,ubc,1001,88,NA,0
2026,2026,5,battle creek,ubc,1061,88,NA,0
2026,2026,6,battle creek,ubc,1047,43,NA,0
2026,2026,7,battle creek,ubc,774,29,NA,0
2026,2026,10,battle creek,ubc,1019,98,NA,0
2026,2026,11,battle creek,ubc,1005,137,NA,0
2026,2026,12,battle creek,ubc,488,57,NA,0
2026,2026,13,battle creek,ubc,1004,115,NA,0
2026,2026,14,battle creek,ubc,978,118,NA,0
2026,2026,16,battle creek,ubc,487,14,NA,0
2026,2026,21,battle creek,ubc,572,97,NA,0
2026,2026,23,battle creek,ubc,441,28,NA,0
