week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
40,2003,battle creek,UBC,USFWS,battle creek,temperature,min,13.64
41,2003,battle creek,UBC,USFWS,battle creek,temperature,max,16.31
41,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,13.256785714285712
41,2003,battle creek,UBC,USFWS,battle creek,temperature,min,11.16
42,2003,battle creek,UBC,USFWS,battle creek,temperature,max,14.57
42,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,12.867767857142855
42,2003,battle creek,UBC,USFWS,battle creek,temperature,min,11.16
43,2003,battle creek,UBC,USFWS,battle creek,temperature,max,14.88
43,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,13.180338204998309
43,2003,battle creek,UBC,USFWS,battle creek,temperature,min,11.47
44,2003,battle creek,UBC,USFWS,battle creek,temperature,max,14.26
44,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.166564969604863
44,2003,battle creek,UBC,USFWS,battle creek,temperature,min,8.23
45,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.47
45,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.535438829787235
45,2003,battle creek,UBC,USFWS,battle creek,temperature,min,9.3
46,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.16
46,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.262759353741497
46,2003,battle creek,UBC,USFWS,battle creek,temperature,min,9.15
47,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.47
47,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.479286321671525
47,2003,battle creek,UBC,USFWS,battle creek,temperature,min,6.06
48,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.32
48,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.336956389698738
48,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
49,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.78
49,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.61907738095238
49,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
50,2003,battle creek,UBC,USFWS,battle creek,temperature,max,9.77
50,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.08988034499514
50,2003,battle creek,UBC,USFWS,battle creek,temperature,min,6.06
51,2003,battle creek,UBC,USFWS,battle creek,temperature,max,9.92
51,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.3121768707483
51,2003,battle creek,UBC,USFWS,battle creek,temperature,min,6.68
52,2003,battle creek,UBC,USFWS,battle creek,temperature,max,9.92
52,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,7.041130952380953
52,2003,battle creek,UBC,USFWS,battle creek,temperature,min,4.97
53,2003,battle creek,UBC,USFWS,battle creek,temperature,max,8.23
53,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.031666666666666
53,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.77
1,2004,battle creek,UBC,USFWS,battle creek,temperature,max,8.23
1,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,6.9088392857142855
1,2004,battle creek,UBC,USFWS,battle creek,temperature,min,5.28
2,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.3
2,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.327066933916424
2,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.46
3,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.3
3,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.475067122593718
3,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
4,2004,battle creek,UBC,USFWS,battle creek,temperature,max,8.84
4,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.577365767735665
4,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.53
5,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.3
5,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.87049684159378
5,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.84
6,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.15
6,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.8987675754192255
6,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.53
7,2004,battle creek,UBC,USFWS,battle creek,temperature,max,10.39
7,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.907115524781341
7,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.84
8,2004,battle creek,UBC,USFWS,battle creek,temperature,max,10.23
8,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.684315476190477
8,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.53
9,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.92
9,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.480952380952381
9,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
10,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.33
10,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.833779761904763
10,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.61
11,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.17
11,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,11.71539466873706
11,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.92
12,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.64
12,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,12.279798347910594
12,2004,battle creek,UBC,USFWS,battle creek,temperature,min,10.39
13,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.79
13,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.878179664723035
13,2004,battle creek,UBC,USFWS,battle creek,temperature,min,8.23
14,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.79
14,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,11.916355503795723
14,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.15
15,2004,battle creek,UBC,USFWS,battle creek,temperature,max,14.72
15,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,12.965328199602823
15,2004,battle creek,UBC,USFWS,battle creek,temperature,min,11.01
16,2004,battle creek,UBC,USFWS,battle creek,temperature,max,13.02
16,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.766904761904764
16,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.46
17,2004,battle creek,UBC,USFWS,battle creek,temperature,max,16.78
17,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,13.95097728377065
17,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.77
18,2004,battle creek,UBC,USFWS,battle creek,temperature,max,17.57
18,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,14.77220238095238
18,2004,battle creek,UBC,USFWS,battle creek,temperature,min,11.78
19,2004,battle creek,UBC,USFWS,battle creek,temperature,max,15.2
19,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,13.57609268707483
19,2004,battle creek,UBC,USFWS,battle creek,temperature,min,11.01
20,2004,battle creek,UBC,USFWS,battle creek,temperature,max,17.26
20,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,14.671164965986392
20,2004,battle creek,UBC,USFWS,battle creek,temperature,min,12.09
21,2004,battle creek,UBC,USFWS,battle creek,temperature,max,17.89
21,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,15.260669946550047
21,2004,battle creek,UBC,USFWS,battle creek,temperature,min,12.71
22,2004,battle creek,UBC,USFWS,battle creek,temperature,max,18.87
22,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,15.97331936345967
22,2004,battle creek,UBC,USFWS,battle creek,temperature,min,12.4
23,2004,battle creek,UBC,USFWS,battle creek,temperature,max,19.03
23,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,16.38285714285714
23,2004,battle creek,UBC,USFWS,battle creek,temperature,min,12.87
24,2004,battle creek,UBC,USFWS,battle creek,temperature,max,19.99
24,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,17.111304057337225
24,2004,battle creek,UBC,USFWS,battle creek,temperature,min,13.94
25,2004,battle creek,UBC,USFWS,battle creek,temperature,max,22.97
25,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.278991739552964
25,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.31
