p10,p25,p50,p75,p90,metric,comid,result_type
71.5,103.25,128.5,168,195.30000000000004,DS_Dur_WS,1680009,observed
262.6,284.75,309.5,344,354.9,DS_Tim,1680009,observed
80.21000000000001,88.625,121.5,137.125,164.2000000000001,DS_Mag_50,1680009,observed
102.37,131.4,179.10000000000002,204.675,233.01000000000005,DS_Mag_90,1680009,observed
2,2,3,4,7.100000000000001,FA_Dur,1680009,observed
137.39833646291342,179.48996451350297,220.99620999459958,299.74569452686967,367.58597675113435,FA_Mag,1680009,observed
13,23,29.5,38.75,47.2,FA_Tim,1680009,observed
0.016944590405761753,0.02064148830263813,0.02526489088368587,0.031148046521178082,0.037837736975668015,SP_ROC,1680009,observed
55.7,59.5,76.5,112,132.9000000000001,SP_Dur,1680009,observed
292.6,417,790.5,1457.5,3284.0000000000036,SP_Mag,1680009,observed
167.7,201.25,232.5,240,251,SP_Tim,1680009,observed
64.6,91,150,179,200.70000000000005,Wet_BFL_Dur,1680009,observed
128.7,169.55,239.4,325.84999999999997,441.6200000000002,Wet_BFL_Mag_10,1680009,observed
247.9,297.375,481,745.625,998.1000000000001,Wet_BFL_Mag_50,1680009,observed
41.5,50,69.5,97,131.40000000000003,Wet_Tim,1680009,observed
70.4,83,90.5,101,119,Peak_Tim_10,1680009,observed
88.80000000000001,125.5,142,157.5,165.2,Peak_Tim_2,1680009,observed
81.6,90.75,109.5,128.75,141.5,Peak_Tim_5,1680009,observed
1,1,1,1.75,3.1000000000000005,Peak_Dur_10,1680009,observed
1,2,3,4.5,13.2,Peak_Dur_2,1680009,observed
1,1,2,4.75,7,Peak_Dur_5,1680009,observed
7681,7681,7681,7681,7681,Peak_10,1680009,observed
3270,3270,3270,3270,3270,Peak_2,1680009,observed
5578,5578,5578,5578,5578,Peak_5,1680009,observed
1,1,1,1,1,Peak_Fre_10,1680009,observed
1,1,2,3,4.599999999999998,Peak_Fre_2,1680009,observed
1,1,1,3,3.3,Peak_Fre_5,1680009,observed
