Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,76,359,471,606,5,1839.9927323017123,0,0.02350593517526741,28,1050,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1988,313,192,474,1070,4,749.0296109144198,62,NA,NA,1130,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1989,NA,225,NA,NA,2,6439.7066481048005,53,0.03007518796992481,46,22000,179,40,678.4,5005,139,NA,167.5,NA,NA,4,NA,39060.00000000003,12400,29440.000000000004,NA,2,NA
1990,NA,293,NA,NA,NA,NA,NA,0.02972972972972973,39,1280,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1991,NA,216,NA,NA,5,1060.0001371302212,2,0.04086846983885535,36,4120,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1992,156,289,414.5,469.5,3,2110.0001236422427,3,0.03234945774598825,143,4260,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1993,NA,357,NA,NA,6,3159.879210322127,71,0.023076923076923078,105,6390,252,173,2214,4410,79,NA,113,NA,NA,1,NA,39060.00000000003,12400,29440.000000000004,NA,1,NA
1994,160,287,449,632.5,6,1369.9852824304962,8,0.03355704697986577,209,1800,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA
1995,155,307,964,1656,7,672.9537960544426,36,0.06274509803921569,88,14300,219,138,1002.3000000000002,5805,81,NA,157.5,186.5,NA,27,3,39060.00000000003,12400,29440.000000000004,NA,4,2
1996,150,269,1180,1760,5,4349.963919542504,73,0.060180995475113123,34,27000,235,139,3376,4770,96,NA,187.5,230,NA,14,1,39060.00000000003,12400,29440.000000000004,NA,4,1
