p10,p25,p50,p75,p90,metric,comid,result_type
104.5,119.25,146.5,179.75,200.9,DS_Dur_WS,2495296,observed
249.10000000000002,273.25,281,291.75,309.3,DS_Tim,2495296,observed
54.4,58.25,169,207,220,DS_Mag_50,2495296,observed
64.48,150.3,214,227.32500000000005,248.50000000000003,DS_Mag_90,2495296,observed
2,2,4,5,8,FA_Dur,2495296,observed
145.00051564624636,180.05255515190584,241.998976632466,317.9796998263301,514.9421125928686,FA_Mag,2495296,observed
2,8,13,23,46,FA_Tim,2495296,observed
0.0076455188050817205,0.010985070166620191,0.016210092568185695,0.025812919592066826,0.04254916136495088,SP_ROC,2495296,observed
12.7,25.5,51,86.5,107.30000000000001,SP_Dur,2495296,observed
226.39999999999998,344,575.5,892.25,1226.0000000000005,SP_Mag,2495296,observed
169.4,197,232.5,260,265.6,SP_Tim,2495296,observed
80.7,126,153.5,190,228,Wet_BFL_Dur,2495296,observed
63.1,136.625,214.5,226.825,243.51,Wet_BFL_Mag_10,2495296,observed
107.10000000000001,213.75,265.5,289.25,332.7000000000001,Wet_BFL_Mag_50,2495296,observed
24.4,33,61,88.75,117.40000000000003,Wet_Tim,2495296,observed
95.3,100.25,103.25,109.875,121.35000000000001,Peak_Tim_10,2495296,observed
90,107,135,142.5,161.6,Peak_Tim_2,2495296,observed
98,108.5,131.25,144.25,166.89999999999998,Peak_Tim_5,2495296,observed
2,2,2.5,3.25,3.7,Peak_Dur_10,2495296,observed
1,1.5,4,8,9.399999999999999,Peak_Dur_2,2495296,observed
1.7000000000000002,2,3,4.75,7,Peak_Dur_5,2495296,observed
3968.0000000000055,3968.0000000000055,3968.0000000000055,3968.0000000000055,3968.0000000000055,Peak_10,2495296,observed
1450,1450,1450,1450,1450,Peak_2,2495296,observed
2632.0000000000005,2632.0000000000005,2632.0000000000005,2632.0000000000005,2632.0000000000005,Peak_5,2495296,observed
1,1,1.5,2,2,Peak_Fre_10,2495296,observed
1,1,2,3,3.1999999999999993,Peak_Fre_2,2495296,observed
1,1,1,1,1.2999999999999998,Peak_Fre_5,2495296,observed
