p10,p25,p50,p75,p90,metric,comid,result_type
87.4,102,134.5,158.25,175.90000000000006,DS_Dur_WS,8019544,observed
282.79999999999995,295,306.5,320.5,328.70000000000005,DS_Tim,8019544,observed
79.83,93.4,104,119.375,135.45000000000002,DS_Mag_50,8019544,observed
96.47200000000001,113.35,139.5,162.5,181,DS_Mag_90,8019544,observed
2,3,4,5.25,7,FA_Dur,8019544,observed
144.7976089519981,172.74384770565464,196.4885374026661,236.97648830968228,395.16958457473874,FA_Mag,8019544,observed
11.5,19,28.5,41,50.3,FA_Tim,8019544,observed
0.019250387396694206,0.021626984126984126,0.024363175966891297,0.029874867838123594,0.032817261848892734,SP_ROC,8019544,observed
66.4,81.5,99,136.75,163.10000000000002,SP_Dur,8019544,observed
356.6,629.25,1100,1990,2574.0000000000005,SP_Mag,8019544,observed
145.4,167,210.5,234,242.5,SP_Tim,8019544,observed
28.4,71.5,141.5,170.75,186.5,Wet_BFL_Dur,8019544,observed
110.26,136.5,153.2,213.325,246.00000000000006,Wet_BFL_Mag_10,8019544,observed
194.25,221.375,324,478.375,598.15,Wet_BFL_Mag_50,8019544,observed
38.4,53.5,64.5,90,118.60000000000001,Wet_Tim,8019544,observed
91,91,95.5,100.75,102.10000000000001,Peak_Tim_10,8019544,observed
84.6,103.5,139,154.5,160.4,Peak_Tim_2,8019544,observed
68.3,84.875,95,131.125,143.5,Peak_Tim_5,8019544,observed
1,1,1.5,2.25,2.7,Peak_Dur_10,8019544,observed
1,1,1,2.5,7.399999999999999,Peak_Dur_2,8019544,observed
1,1,1.5,3.25,4.3,Peak_Dur_5,8019544,observed
5377.000000000002,5377.000000000002,5377.000000000002,5377.000000000002,5377.000000000002,Peak_10,8019544,observed
2815,2815,2815,2815,2815,Peak_2,8019544,observed
4132,4132,4132,4132,4132,Peak_5,8019544,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,8019544,observed
1,1,1,2.5,4,Peak_Fre_2,8019544,observed
1,1,1,2,2.3,Peak_Fre_5,8019544,observed
