Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,140,277,87.5,101,7,208.98483263488168,29,0.02800615212527964,110,2550,167,55,148.6,224,112,NA,162,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
1988,191,313,114,181,NA,NA,NA,0.026919362626750362,104,292,209,158,150.4,195,51,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
1989,88,293,104,117.3,2,1249.9057181385083,53,0.03231560371164538,126,996,167,29,167.8,353,138,NA,160,161,NA,2,1,5377.000000000002,2815,4132,NA,2,1
1990,198,310,94,110,NA,NA,NA,0.02063049437564987,64,623,246,231,112,169,15,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
1991,165,321,97,125.6,NA,NA,NA,0.03336336654653381,154,1100,167,25,105.4,217,142,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
1992,147,302,69,128.60000000000002,4,171.99281977358405,25,0.03306688529070165,156,1230,146,26,112,394.5,120,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
1993,79,342,111,126.2,7,103.99541509105336,20,0.02578268876611418,96,1240,246,163,219.2,501,83,NA,141,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
1994,136,312,81,165,5,169.972508327165,13,0.01960972796308757,90,362,222,167,136,205,55,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
1995,90,335,125,141.20000000000002,5,168.99746641467488,39,0.031893701788590315,117,1400,218,136,236.5,506,82,100,158,129.5,1,9,4,5377.000000000002,2815,4132,1,4,2
1996,112,316,113,171.70000000000002,NA,NA,NA,0.02142857142857143,78,1100,238,179,166,433,59,NA,143,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
1997,172,284,127,225.9,7,425.99208863259827,50,0.030303030303030304,188,14400,96,34,225.4,598.5,62,91,90,91,3,7,3,5377.000000000002,2815,4132,1,3,1
1998,73,337,159,170.6,4,239.9818568972143,8,0.02262443438914027,80,1160,257,167,355.6,663,90,NA,125,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
1999,156,309,139,181,NA,NA,NA,0.02409769139058492,68,648,241,197,175.6,408,44,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2000,155,307,124,139,3,381.9599399785132,27,0.028268551236749116,154,2480,153,54,253,484,99,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2001,86,306,95,97,2,241.96112955484415,28,0.02089926879842846,81,339,225,129,147.8,269,96,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2002,137,295,92.9,114.4,NA,NA,NA,0.02887103971441321,95,569,200,174,116.5,274,26,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2003,102,321,119,140,8,320.00070926196724,39,0.02975588160890463,102,1190,219,153,237.4,452,66,NA,88,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
2004,110,319,119.5,148,4,178.99821044243726,40,0.023354109855862875,168,2060,151,94,195,292,57,NA,139,NA,NA,2,NA,5377.000000000002,2815,4132,NA,1,NA
2005,101,322,114,155,6,180.99189234736195,19,0.024630541871921183,87,1100,235,172,173.2,297.5,63,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2006,102,321,143,177.8,3,193.99587648239964,34,0.025889967637540454,124,2380,197,140,188.5,598,57,91,123.5,89.5,1,6,2,5377.000000000002,2815,4132,1,6,2
2007,139,301,99.1,117,4,218.9882259136701,44,0.01953125,153,689,148,91,156,207,57,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2008,185,310,98,140.2,5,196.98285535428963,19,0.017974383812291467,76,541,234,160,153.6,258.5,74,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
