comid,metric,p10,p25,p50,p75,p90,source,result_type
2495296,Peak_Dur_2,1,1,3,6,10,inferred,predicted
2495296,Peak_Dur_5,1,1,1,2,4,inferred,predicted
2495296,Peak_Fre_2,1,1,2,3,5,inferred,predicted
2495296,Peak_Fre_5,1,1,1,2,2,inferred,predicted
2495296,Peak_10,10822.5739897226,12672.7724718361,13614,13912.253916400101,16948.891411481698,model,predicted
2495296,Peak_2,4653.03309129015,5485.09290416163,5696.56225856903,5943.2550242558,7002.83383015454,model,predicted
2495296,Peak_5,7832.23212502325,8341.26559466404,8685.251934220809,8941.23819841966,12962.120695716201,model,predicted
2495296,DS_Dur_WS,119.745,141.2375,160,188.15625,221.1625,model,predicted
2495296,DS_Mag_50,27.423447001833,34.5937881729242,38.6768031533232,51.7328628682954,61.6741372435329,model,predicted
2495296,DS_Mag_90,51.4468645936421,69.9596163493575,106.543503112847,161.873179321291,232.70014632466,model,predicted
2495296,DS_Tim,228.1125,245.2,263,276.35,292.76,model,predicted
2495296,FA_Mag,84.8203458358441,121.567679800778,193.682855553465,380.607237576793,756.379810221137,model,predicted
2495296,FA_Tim,6.97083333333333,12.3875,23.125,29,42.25,model,predicted
2495296,SP_Dur,36.6208333333334,45.075,58.0625,83.5958333333334,109.016666666667,model,predicted
2495296,SP_Mag,658.069722904175,1052.33468764666,1534.39057156145,2793.60654767682,5587.67455188146,model,predicted
2495296,SP_Tim,165.92,187.666666666667,199,213.525,228.785,model,predicted
2495296,Wet_BFL_Dur,78.3916666666667,113.45,135.5,157.75,184.115,model,predicted
2495296,Wet_BFL_Mag_10,130.257332105457,167.79485401207901,216.852949266507,266.008470471782,342.149596296424,model,predicted
2495296,Wet_BFL_Mag_50,410.319625321533,497.126564431172,555.946063280879,778.284016712667,989.770420141689,model,predicted
2495296,Wet_Tim,41.2025,50.75,61.5,72.3,91.3775,model,predicted
