p10,p25,p50,p75,p90,metric,comid,result_type
134.6,144,167,197.75,221.3,DS_Dur_WS,8020924,observed
242.10000000000002,259.5,275,285.5,297.6,DS_Tim,8020924,observed
70,79.25,89.7,111.875,127.70000000000003,DS_Mag_50,8020924,observed
93.85,102.27500000000003,127.15,149.9,184.00000000000003,DS_Mag_90,8020924,observed
2,3,4,5,5.400000000000002,FA_Dur,8020924,observed
130.99393715779985,151.9958982297461,182.99210302985637,251.9877304712387,345.5884529404509,FA_Mag,8020924,observed
14.200000000000001,25,34,44,53.400000000000006,FA_Tim,8020924,observed
0.025962930566447488,0.02772874939247436,0.03176676468306393,0.03661791377560358,0.04146109605541655,SP_ROC,8020924,observed
56.400000000000006,75.5,96.5,117.75,131.00000000000006,SP_Dur,8020924,observed
454.70000000000005,971.5,1560,3057.5,3578.0000000000005,SP_Mag,8020924,observed
135.5,151.5,173,196.25,222.60000000000005,SP_Tim,8020924,observed
28.4,56.25,94,130,164.40000000000003,Wet_BFL_Dur,8020924,observed
90.946,109.94999999999999,152.1,213.4,251.44000000000014,Wet_BFL_Mag_10,8020924,observed
170.55,208.5,340.5,560,759.1500000000005,Wet_BFL_Mag_50,8020924,observed
43.7,53.5,73.5,93,123.40000000000003,Wet_Tim,8020924,observed
91,91,110.25,129.875,130.55,Peak_Tim_10,8020924,observed
84.6,123.75,141,154.5,160,Peak_Tim_2,8020924,observed
81.6,90.75,110,129.375,148.05,Peak_Tim_5,8020924,observed
1,1,2,3.25,3.7,Peak_Dur_10,8020924,observed
1,1,1,3,6.9999999999999964,Peak_Dur_2,8020924,observed
1,1,1.5,4.5,6.3,Peak_Dur_5,8020924,observed
7319.0000000000055,7319.0000000000055,7319.0000000000055,7319.0000000000055,7319.0000000000055,Peak_10,8020924,observed
3610,3610,3610,3610,3610,Peak_2,8020924,observed
5244.000000000001,5244.000000000001,5244.000000000001,5244.000000000001,5244.000000000001,Peak_5,8020924,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,8020924,observed
1,1,1,2,4.199999999999999,Peak_Fre_2,8020924,observed
1,1,1,2.25,3.3,Peak_Fre_5,8020924,observed
