p10,p25,p50,p75,p90,metric,comid,result_type
97.4,145,224,281,320.8,DS_Dur_WS,7968461,observed
182.2,255,326,346,350.8,DS_Tim,7968461,observed
616.4,627,640,689,845.8,DS_Mag_50,7968461,observed
628.12,638.5,680,844.7,989.48,DS_Mag_90,7968461,observed
2.2,2.5,3,4,4.6,FA_Dur,7968461,observed
1093.595610052886,1283.496306854845,1599.997468191443,1619.9996124927006,1632.0008990734552,FA_Mag,7968461,observed
5.6,9.5,16,26.5,32.8,FA_Tim,7968461,observed
0.004586566627267589,0.006316623559137052,0.010651890817321524,0.027936017680729484,0.06646723523240514,SP_ROC,7968461,observed
19.5,21.75,37.5,80,128.5,SP_Dur,7968461,observed
690.6,1020,2140,8040,39239.99999999997,SP_Mag,7968461,observed
145,177,268,306,318.4,SP_Tim,7968461,observed
30,32,56,111,170.60000000000002,Wet_BFL_Dur,7968461,observed
613.1999999999999,621,632,703.6,977.3000000000002,Wet_BFL_Mag_10,7968461,observed
622.4,630,693,1090,1894,Wet_BFL_Mag_50,7968461,observed
31.6,89,145,237,251.40000000000003,Wet_Tim,7968461,observed
91,91,111.5,145.875,170.85000000000002,Peak_Tim_10,7968461,observed
148.7,154,187,229.75,264.1,Peak_Tim_2,7968461,observed
110.4,137.25,167,170.25,177.6,Peak_Tim_5,7968461,observed
4.6,5.5,7,10.25,14.3,Peak_Dur_10,7968461,observed
4.3999999999999995,9,21,55,83.99999999999997,Peak_Dur_2,7968461,observed
3.4000000000000004,4,7.5,14.5,28.299999999999994,Peak_Dur_5,7968461,observed
43919.99999999995,43919.99999999995,43919.99999999995,43919.99999999995,43919.99999999995,Peak_10,7968461,observed
2330,2330,2330,2330,2330,Peak_2,7968461,observed
17780,17780,17780,17780,17780,Peak_5,7968461,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,7968461,observed
1,1,2,3,4,Peak_Fre_2,7968461,observed
1,1,1,2,2.8999999999999995,Peak_Fre_5,7968461,observed
