Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,166,248,80,93.5,NA,NA,NA,0.026041666666666668,81,3190,167,55,150.2,233,112,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1988,221,283,77,150,NA,NA,NA,0.032407083362497376,172,663,111,63,89.2,198,48,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1989,142,240,90.5,131,3,1669.8976413920934,53,0.045346062052505964,73,1410,167,29,142.20000000000002,337,138,NA,159,161,NA,3,1,7319.0000000000055,3610,5244.000000000001,NA,1,1
1990,212,297,80,94,NA,NA,NA,0.02608695652173913,119,278,178,162,102.1,166,16,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1991,222,265,70,112.9,NA,NA,NA,0.036605434366628394,98,1080,167,24,85.6,260,143,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1992,208,243,76.5,101.90000000000003,2,119.99881092649248,26,0.04075235109717868,97,1310,146,25,111,526,121,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1993,129,293,98,111.4,5,177.99644840422167,29,0.03184713375796178,114,1730,179,94,224.6,462.5,85,NA,141,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
1994,165,286,67,131,4,151.9973101323386,16,0.02631578947368421,127,384,159,103,107.2,142,56,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
1995,137,294,119,170,2,146.99979204006584,40,0.026021423831642812,77,3620,217,132,345.2,843.5,85,129.5,159,105,4,11,7,7319.0000000000055,3610,5244.000000000001,2,5,3
1996,138,287,118,149.6,NA,NA,NA,0.028112449799196786,52,1410,235,170,204.4,583.5,65,NA,143,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
1997,232,224,118,219,3,362.9811026253599,50,0.04311483429130488,128,20100,96,37,166.4,525,59,91,103.5,90,3,6,4,7319.0000000000055,3610,5244.000000000001,1,2,1
1998,107,303,148,183.4,4,199.9921133410568,8,0.04032258064516129,122,1410,181,91,390,982,90,NA,126.5,125,NA,3,1,7319.0000000000055,3610,5244.000000000001,NA,2,1
1999,188,276,125,144.60000000000002,NA,NA,NA,0.029556650246305417,121,2000,155,111,162,375,44,NA,131,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2000,197,265,112,137,4,289.99119529860343,27,0.028450020234722782,112,3560,153,55,229,573,98,NA,136,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2001,152,252,81,98,2,225.98433908748578,28,0.031446540880503145,93,1620,159,63,125,204,96,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2002,149,283,79,94.34,5,132.9988336079054,30,0.020833333333333332,93,508,190,152,158.4,309.5,38,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2003,147,276,109,151,8,333.99335315051144,39,0.031686395608166065,57,1760,219,153,242.2,530,66,NA,88,NA,NA,3,NA,7319.0000000000055,3610,5244.000000000001,NA,3,NA
2004,161,258,98,126,4,166.9993766733152,39,0.028409090909090908,107,3430,151,94,194.9,300,57,NA,139,NA,NA,2,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2005,137,302,97.4,154.20000000000002,5,218.98707484988228,19,0.026708259061200237,68,2240,234,181,128,328,53,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2006,144,274,151,185.40000000000003,3,182.99210302985637,34,0.030202702702702703,77,3540,197,124,359.1,935,73,91,150,91,1,6,1,7319.0000000000055,3610,5244.000000000001,1,5,1
2007,179,261,84.9,98.06,4,239.98189417298278,44,0.025826446280991736,113,654,148,96,137.5,172.5,52,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2008,198,297,84.6,141,3,160.006548955604,65,0.024711270410195125,146,1110,151,77,109.6,222,74,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2009,186,269,86.75,115,6,127.98659248264157,3,0.038834951456310676,113,4540,156,27,154,723,129,NA,152,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2010,144,282,101,143.10000000000005,3,189.9942516223676,13,0.0336464949423665,69,1500,213,124,145,392,89,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2011,213,299,134,174,5,485.99290306370017,24,0.03188516260162602,96,1720,203,143,216.4,570,60,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2012,142,267,88.9,115.9,NA,NA,NA,0.04032258064516129,84,2190,183,37,140,344,146,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2013,230,253,87.5,99.31,NA,NA,NA,0.033112582781456956,183,1300,70,27,106.8,257,43,NA,62,62,NA,1,1,7319.0000000000055,3610,5244.000000000001,NA,1,1
2014,154,259,66.8,76.3,3,151.99448632715362,51,0.02857142857142857,75,971,184,67,91.06,180,117,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
