comid,metric,p10,p25,p50,p75,p90,source,result_type
1680009,Peak_Dur_2,1,1,3,7,16,inferred,predicted
1680009,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted
1680009,Peak_Fre_2,1,1,2,3,5,inferred,predicted
1680009,Peak_Fre_5,1,1,1,2,3,inferred,predicted
1680009,Peak_10,7035.11446389551,9325.30190243991,13165.2573036312,15974.6939118936,18746.259367448798,model,predicted
1680009,Peak_2,2314.84731266952,3445.02709283607,4743.07894174435,6575.82146027091,9223.57060256986,model,predicted
1680009,Peak_5,4893.50521067531,6476.971815362479,9304.74058849269,11579.5811179574,14270.972186545501,model,predicted
1680009,DS_Dur_WS,104.97,128.2,154.3,179.2625,204.52,model,predicted
1680009,DS_Mag_50,26.0602238142695,39.0165033757377,55.9713958695445,76.7939835075831,96.4584748452014,model,predicted
1680009,DS_Mag_90,42.8410339380617,61.0117797999413,84.2282331526369,118.874132417482,166.250684635215,model,predicted
1680009,DS_Tim,242,261.364583333333,276.175,293.875,314.1375,model,predicted
1680009,FA_Mag,61.3240240665828,94.4838168441386,160.53710413061,289.581245014736,524.853241931848,model,predicted
1680009,FA_Tim,6.4175,12.875,23.2,28.28125,41.2133333333334,model,predicted
1680009,SP_Dur,38,51,72.6166666666666,108.10625,137.446666666666,model,predicted
1680009,SP_Mag,400.675516918274,662.64136938242,1172.87050423128,2107.81754990827,3573.47441216239,model,predicted
1680009,SP_Tim,151.721666666667,185.46875,203.75,226.510416666667,240.45,model,predicted
1680009,Wet_BFL_Dur,72.99,109.46875,146.5,168.4125,191.175,model,predicted
1680009,Wet_BFL_Mag_10,77.4233429366881,106.851546573677,154.47632519808,217.646700916852,289.343334385236,model,predicted
1680009,Wet_BFL_Mag_50,270.162885874326,369.147818492118,481.184216332826,620.334690120604,753.395118552431,model,predicted
1680009,Wet_Tim,44.875,54,65.2,79.6354166666667,96.5125,model,predicted
