p10,p25,p50,p75,p90,metric,comid,result_type
67.4,97,122,160,206.8,DS_Dur_WS,7981844,observed
239,266.75,308.5,346.75,352.9,DS_Tim,7981844,observed
433,474,568,766,907.4000000000001,DS_Mag_50,7981844,observed
518.9200000000001,609.6,819.8,1467.000000000001,1654.8,DS_Mag_90,7981844,observed
2,3,5,5,6,FA_Dur,7981844,observed
813.8113962583744,946.9991236031469,1369.9852824304962,2709.956995004695,4456.8938776644245,FA_Mag,7981844,observed
2.6,13,36,62,69.80000000000001,FA_Tim,7981844,observed
0.015604121106037056,0.0228370006408887,0.03161060142711519,0.04086846983885535,0.05371945701357465,SP_ROC,7981844,observed
27.2,43,88,129,204.2,SP_Dur,7981844,observed
1106,3845,6310,12050,23500.000000000022,SP_Mag,7981844,observed
121.99999999999999,153,215,252,293.19999999999993,SP_Tim,7981844,observed
53,81.5,120,166.5,189,Wet_BFL_Dur,7981844,observed
538.2,591.3,826.5,1224,2214,Wet_BFL_Mag_10,7981844,observed
694,1102.5,2590,4987.5,5805,Wet_BFL_Mag_50,7981844,observed
39.5,52.5,71,95.25,135.90000000000006,Wet_Tim,7981844,observed
91,91,102.75,143.625,196.05,Peak_Tim_10,7981844,observed
110.39999999999999,136,157.5,171.25,193.2,Peak_Tim_2,7981844,observed
117.30000000000001,135.75,172.5,197.375,230,Peak_Tim_5,7981844,observed
1.6,2.5,4.5,6.75,8.100000000000001,Peak_Dur_10,7981844,observed
1.7999999999999998,3.5,7,13.5,28.999999999999993,Peak_Dur_2,7981844,observed
1,1.75,3,5.75,9.2,Peak_Dur_5,7981844,observed
39060.00000000003,39060.00000000003,39060.00000000003,39060.00000000003,39060.00000000003,Peak_10,7981844,observed
12400,12400,12400,12400,12400,Peak_2,7981844,observed
29440.000000000004,29440.000000000004,29440.000000000004,29440.000000000004,29440.000000000004,Peak_5,7981844,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,7981844,observed
1,1.5,3,4,5.399999999999999,Peak_Fre_2,7981844,observed
1,1,1.5,2,2.3,Peak_Fre_5,7981844,observed
