Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,188,204,53,58,NA,NA,NA,0.024695121951219513,36,385,168,142,57.1,108,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1988,118,276,53,55,NA,NA,NA,0.017543859649122806,22,77,254,228,60,78,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1989,147,233,56,66.4,NA,NA,NA,0.02684684684684685,54,519,179,151,71,113,28,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1990,106,286,56,80,NA,NA,NA,0.02531645569620253,44,907,242,228,61,78,14,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1991,268,221,57,75,NA,NA,NA,0.014705882352941176,41,342,180,154,55,105,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1992,67,310,49,50.4,NA,NA,NA,0.024096385542168676,107,225,203,80,67.8,134,123,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1993,110,281,57,60,3,630.9532139410741,7,0.02667140825035562,30,1190,251,240,96.9,216,11,NA,139,111,NA,2,1,3968.0000000000055,1450,2632.0000000000005,NA,2,1
1994,173,282,55,109,NA,NA,NA,0.016530054644808743,71,161,211,186,64,93,25,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1995,155,269,77,148,8,100.11830665529392,23,0.04972527472527473,99,3140,170,81,112,230,89,103,159,133.5,2,15,7,3968.0000000000055,1450,2632.0000000000005,2,3,2
1996,169,258,59,157.20000000000002,2,145.00051564624636,10,0.03296703296703297,24,240,234,176,144.5,198,58,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
1997,240,223,63,188,5,155.12000593294704,10,0.014851849128740532,101,747,122,61,190,259,61,92,103,91,3,8,4,3968.0000000000055,1450,2632.0000000000005,1,2,1
1998,66,333,51,206,4,151.00439539024384,7,0.025978407557354925,88,755,245,148,240.7,351.5,97,129,135,129,2,11,3,3968.0000000000055,1450,2632.0000000000005,1,6,1
1999,203,262,201,252,2,207.00130699805828,8,0.011152416356877323,65,448,197,164,216,297,33,NA,129,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA
2000,143,279,58,132.8,NA,NA,NA,0.016394544110730366,48,315,231,132,243,282,99,NA,135,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA
2001,117,287,105,195,2,133.05295693647355,2,0.008700140087001401,108,183,179,123,156,172,56,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2002,153,281,206,225.00000000000017,2,180.05255515190584,9,0.012738853503184714,103,313,178,140,210.9,275.5,38,NA,93,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA
2003,166,256,159,214.5,12,208.06895801022154,17,0.015071290798381301,40,3080,216,148,244.7,295.5,68,NA,90,211,NA,9,2,3968.0000000000055,1450,2632.0000000000005,NA,3,1
2004,139,288,189,217,3,238.99923860054145,39,0.011363636363636364,82,369,206,150,241,276.5,56,NA,143,NA,NA,3,NA,3968.0000000000055,1450,2632.0000000000005,NA,2,NA
2005,130,310,207,220.10000000000002,6,285.98485344536283,16,0.008226751931787903,47,227,263,202,222.1,273,61,NA,172,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA
2006,138,264,99.7,199,4,484.9825212732826,46,0.016025641025641024,66,2470,198,124,263.9,406.5,74,NA,90,NA,NA,5,NA,3968.0000000000055,1450,2632.0000000000005,NA,3,NA
2007,136,304,209,213.5,2,204.0159225745321,1,0.017857142857142856,70,231,234,198,214,230.5,36,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2008,187,304,200,217,NA,NA,NA,0.008733790999237222,154,1310,150,76,215,272,74,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2009,169,285,213,275,5,514.9421125928686,43,0.01407907425265188,65,895,220,95,230,278,125,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2010,113,315,219,245.8,8,465.96654279197776,13,0.00980392156862745,61,680,254,166,249.5,321,88,NA,111,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA
2011,240,284,224.5,247,4,557.9052399367622,23,0.019549159449821704,31,744,253,191,227,284,62,NA,173,NA,NA,2,NA,3968.0000000000055,1450,2632.0000000000005,NA,2,NA
2012,101,309,181,242,NA,NA,NA,0.023076923076923078,57,972,252,94,226.3,273.5,158,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2013,196,305,207,214,1,241.998976632466,0,0.008881799204379849,108,955,197,153,218,237,44,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2014,129,293,179,185,NA,NA,NA,0.005168371696504689,91,424,202,67,204,252,135,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2015,185,273,236,246.2,NA,NA,NA,0.010929288103201148,9,380,264,208,190,217,56,NA,79,NA,NA,4,NA,3968.0000000000055,1450,2632.0000000000005,NA,3,NA
2016,146,286,241,291,NA,NA,NA,0.056074766355140186,15,951,271,179,218.4,274,92,NA,136,NA,NA,6,NA,3968.0000000000055,1450,2632.0000000000005,NA,2,NA
2017,112,277,153.5,198,2,260.9726453874167,13,0.029636644219977554,12,780,265,199,278.8,366,66,NA,134.5,NA,NA,8,NA,3968.0000000000055,1450,2632.0000000000005,NA,4,NA
2018,182,277,209,244.9,NA,NA,NA,0.039473684210526314,13,884,264,241,197,213,23,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2019,123,276,167,300.8,4,317.9796998263301,53,0.0125,8,490,268,175,200.4,346,93,NA,147,148,NA,5,3,3968.0000000000055,1450,2632.0000000000005,NA,1,1
2020,200,281,220,228.1,9,302.9954697857931,21,0.006134969325153374,14,604,267,234,222,291,33,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2021,100,281,162,214,NA,NA,NA,0.006289308176100629,13,576,268,153,134,222,115,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2022,170,279,187.5,225,NA,NA,NA,0.005860491709548313,177,350,102,87,224,246,15,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA
2023,167,274,171,223,NA,NA,NA,0.06471832848452791,11,583,263,180,216,291.5,83,103.5,132,101,4,9,7,3968.0000000000055,1450,2632.0000000000005,2,2,1
2024,136,305,220,224.5,5,277.99418598685065,48,0.061068702290076333,43,575,262,187,232,327,75,NA,142,143,NA,4,2,3968.0000000000055,1450,2632.0000000000005,NA,2,1
