Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,68,346,71.5,110.60000000000001,2,246.00501878524227,29,0.026143790849673203,179,2690,167,58,165.20000000000002,270.5,109,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1988,154,349,138,234.90000000000012,5,110.00094242925931,23,0.022556390977443608,116,341,233,185,235,300,48,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1989,113,270,113,131,2,186.99651270732105,44,0.02909197766676462,90,1360,180,43,228.4,773,137,NA,159,NA,NA,3,NA,7681,3270,5578,NA,1,NA
1990,192,317,89,103,NA,NA,NA,0.025213326071169207,71,692,246,229,129,222,17,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1991,165,322,80,128,3,137.99977780516366,30,0.03597122302158273,88,420,234,91,330,420,143,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1992,122,329,96,179,2,239.98627050156603,25,0.029211087420042643,126,561,203,82,128,440,121,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1993,112,309,122,165,2,176.9877817822303,20,0.02040816326530612,58,766,251,166,472,715.5,85,NA,126,NA,NA,2,NA,7681,3270,5578,NA,2,NA
1994,131,321,84,184,3,198.0055423261561,15,0.02830188679245283,98,382,223,168,152,296.5,55,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
1995,137,294,122,191,2,169.99714779507798,36,0.032385405207187384,78,4790,216,130,474.5,1385,86,NA,170,104,NA,17,7,7681,3270,5578,NA,7,3
1996,124,304,149.5,208.4,NA,NA,NA,0.02973052600566095,69,1470,235,170,230.60000000000002,661,65,NA,134.5,NA,NA,3,NA,7681,3270,5578,NA,2,NA
1997,305,151,183,331,2,200.99319518638677,29,0.044182016544568686,30,4950,121,59,428.6,1010,62,90,89,90,4,10,4,7681,3270,5578,1,3,1
1998,73,326,181,204.8,2,304.9945485851041,47,0.019230769230769232,81,1680,245,155,686.2,993,90,NA,125,125,NA,5,1,7681,3270,5578,NA,3,1
1999,118,346,157,230.29999999999995,NA,NA,NA,0.02728701406120761,106,507,240,207,238.8,551,33,NA,131,NA,NA,1,NA,7681,3270,5578,NA,1,NA
2000,186,292,137.5,178,10,365.98524002042126,27,0.01764705882352941,52,416,240,142,379.3,627.5,98,NA,142.5,NA,NA,2,NA,7681,3270,5578,NA,2,NA
2001,38,368,87,100.9,3,214.24393876312948,10,0.02197802197802198,122,236,246,134,176.6,380,112,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2002,75,358,88.5,135.60000000000002,4,215.99865678196824,29,0.014925373134328358,122,349,236,198,222.4,413.5,38,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2003,126,297,134,157.5,4,381.99260732755204,38,0.02531645569620253,57,883,240,173,412.4,754,67,NA,88,NA,NA,2,NA,7681,3270,5578,NA,1,NA
2004,65,354,125,192,4,225.99376320723093,39,0.026065545933095603,202,2490,152,95,257.6,454,57,NA,139,140,NA,2,1,7681,3270,5578,NA,1,1
2005,135,288,155,218.20000000000002,6,277.9868492331009,19,0.03303303303303303,54,3020,234,181,168,443,53,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2006,139,276,184,232.2,3,274.9962770305232,34,0.03896103896103896,75,3900,201,144,274.7,1200,57,91,156,91,1,14,3,7681,3270,5578,1,9,3
2007,135,303,105,120,NA,NA,NA,0.0196078431372549,69,240,234,185,163.4,262,49,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2008,138,357,116,176.3,NA,NA,NA,0.01838987255273635,125,310,232,160,202.8,286,72,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2009,175,279,107,149.2,4,309.98768698671466,32,0.02249747219413549,59,1350,220,91,260,411,129,NA,148.5,145,NA,4,1,7681,3270,5578,NA,2,1
2010,103,310,136,153,7,333.979592529105,13,0.022857142857142857,59,575,251,163,319.3999999999999,536,88,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2011,174,344,135.5,186.2000000000001,3,666.9396525904573,23,0.01607717041800643,87,815,257,210,295.6,765.5,47,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2012,125,284,111,132.60000000000002,2,281.0250205220585,4,0.02510460251046025,56,428,228,76,192,549.5,152,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2013,229,254,105,128,NA,NA,NA,0.027650356778797146,64,514,190,147,292.2,369,43,62,61,62,1,2,1,7681,3270,5578,1,2,1
2014,80,333,75.4,93.28000000000003,8,188.98025827399547,50,0.031746031746031744,149,1210,184,67,102.6,268,117,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2015,101,358,80.5,269,3,145.99578648556272,25,0.02517856388149275,223,1160,135,88,112.4,186,47,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2016,173,239,130,218.8,2,138.98562541054218,39,0.04938271604938271,71,4640,168,75,342.4,508,93,NA,160.5,NA,NA,3,NA,7681,3270,5578,NA,2,NA
2017,247,265,182,291.4,4,215.99713800421802,13,0.04247104247104247,63,1420,202,156,312.5,1060,46,131,120.5,115,1,13,7,7681,3270,5578,1,4,4
2018,203,257,121,197.60000000000002,3,283.9991323521663,34,0.03162055335968379,64,1680,193,47,241.8,647,146,NA,172,NA,NA,1,NA,7681,3270,5578,NA,1,NA
2019,118,301,141,204.3,9,416.99748170972873,53,0.021341463414634148,58,938,243,149,508,836,94,NA,148,NA,NA,4,NA,7681,3270,5578,NA,3,NA
2020,82,349,80.3,96.75,NA,NA,NA,0.015950920245398736,114,413,235,182,174.2,211.5,53,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2021,35,344,69.2,74.7,5,131.9853643826613,44,0.013274336283185872,87,141,257,192,98.17,143.5,65,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2022,104,343,82.65,180.3,NA,NA,NA,0.01731634182908546,92,252,251,238,132.7,259,13,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA
2023,165,287,134,187.6,3,117.99715131279422,32,0.03735632183908046,55,1030,232,151,328,883,81,NA,164,NA,NA,2,NA,7681,3270,5578,NA,1,NA
2024,169,283,135,179.20000000000002,2,318.9927019858667,49,0.021660649819494584,61,724,222,136,240,720.5,86,NA,142,NA,NA,1,NA,7681,3270,5578,NA,1,NA
