Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,99,325,453,483,NA,NA,NA,0.010940919037199124,18,764,307,62,433.2,537,245,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1988,282,324,640,651,NA,NA,NA,0.004702194357366771,145,697,179,121,460,576,58,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1989,97,289,618,627.4,NA,NA,NA,0.006329113924050633,19,2540,270,30,619,622,240,NA,262,NA,NA,5,NA,43919.99999999995,2330,17780,NA,1,NA
1990,56,333,614,620.5,NA,NA,NA,0.008662062798092209,125,681,208,188,627,639,20,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1991,296,326,622,631,NA,NA,NA,0.006237390310897203,146,658,180,157,614,624,23,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1992,209,308,616,631,NA,NA,NA,0.006389776357827476,21,1020,287,31,615,632,256,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1993,196,201,614,624,NA,NA,NA,0.006309148264984227,21,23200,180,29,613,619,151,NA,173,174,NA,7,5,43919.99999999995,2330,17780,NA,1,1
1994,237,267,619,643,NA,NA,NA,0.007037674929831792,34,667,233,202,617,624,31,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
1995,240,238,666,1590,NA,NA,NA,0.02917526338346839,69,52800,169,31,625,630,138,187.5,189,186,6,33,16,43919.99999999995,2330,17780,2,3,2
1996,168,255,630.5,1620,5,1599.997468191443,3,0.0032626427406199023,107,30200,148,36,611.5,640,112,NA,187,143,NA,21,4,43919.99999999995,2330,17780,NA,4,1
1997,320,149,636,933,3,1640.0017567939583,16,0.17563739376770537,51,94800,98,41,1610,1680,57,91,102.5,88,8,46,14,43919.99999999995,2330,17780,1,4,1
1998,281,202,627,640,2,966.9951455182468,37,0.012593590115594178,18,10200,184,81,632,944,103,NA,150,NA,NA,19,NA,43919.99999999995,2330,17780,NA,2,NA
1999,NA,178,NA,NA,NA,NA,NA,0.01255888134713104,31,8040,147,30,622.9,628.5,117,NA,147.5,NA,NA,8,NA,43919.99999999995,2330,17780,NA,2,NA
