p10,p25,p50,p75,p90,metric,comid,result_type
37.400000000000006,73,114,190.5,229.40000000000003,DS_Dur_WS,2851625,observed
217,257,310,338.75,382.6,DS_Tim,2851625,observed
4125,4622.5,5660,6622.5,7100,DS_Mag_50,2851625,observed
5201.6,5824.5,7164,8089,9485.2,DS_Mag_90,2851625,observed
3,3,5,6,6,FA_Dur,2851625,observed
6519.975767313599,9014.851951628396,10998.383631186834,11949.887627287622,13899.391696852288,FA_Mag,2851625,observed
31,34,61,66,69,FA_Tim,2851625,observed
0.0197868843933396,0.02177293934681182,0.02755009107468124,0.03526093088857546,0.0496375624840298,SP_ROC,2851625,observed
38.2,75,90,168,232.4,SP_Dur,2851625,observed
11510,17750,25150,27200,29060,SP_Mag,2851625,observed
129.7,158.5,181,219.5,251.3,SP_Tim,2851625,observed
69.2,80.5,110,153,195.60000000000002,Wet_BFL_Dur,2851625,observed
4249.2,4607,5456,6514,7254.4,Wet_BFL_Mag_10,2851625,observed
6149,7662.5,11600,16850,22540,Wet_BFL_Mag_50,2851625,observed
26.200000000000003,37.5,54,81,97,Wet_Tim,2851625,observed
90.9,92.25,94,103,117.4,Peak_Tim_10,2851625,observed
103.8,115.5,141.5,157.5,171.3,Peak_Tim_2,2851625,observed
92.89999999999999,96.75,116,147.25,164.39999999999998,Peak_Tim_5,2851625,observed
1,1,3.5,6.5,7.4,Peak_Dur_10,2851625,observed
1.9000000000000004,4.5,10,21.25,33.90000000000003,Peak_Dur_2,2851625,observed
1,2,3.5,6.5,11.399999999999995,Peak_Dur_5,2851625,observed
30360,30360,30360,30360,30360,Peak_10,2851625,observed
27100,27100,27100,27100,27100,Peak_2,2851625,observed
29200,29200,29200,29200,29200,Peak_5,2851625,observed
1,1,1,1,1,Peak_Fre_10,2851625,observed
1,1,2.5,3,4.100000000000001,Peak_Fre_2,2851625,observed
1,1,1.5,2,3.1999999999999993,Peak_Fre_5,2851625,observed
