Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2007,158,283,243,269.3,NA,NA,NA,0.01764705882352941,135,926,148,111,353,397,37,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2008,166,310,221,259.5,2,373.99174232374327,19,0.018461538461538463,77,597,233,158,288.4,393,75,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2009,162,292,218,250.50000000000003,6,406.9991875373645,32,0.02849788733693747,136,2630,156,46,272.5,394,110,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2010,98,328,225.5,299.3,4,329.9967856855037,13,0.02516054876569898,54,553,274,186,405,526,88,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2011,118,353,269.5,301.2,4,645.9805152788451,24,0.01821239105721864,91,1020,262,202,383.5,754.5,60,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2012,102,308,213,277.9,NA,NA,NA,0.02066115702479339,96,1200,212,107,291.6,456,105,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2013,204,279,208,224,5,337.99722754119966,31,0.01890192198982476,194,3770,85,41,274,499,44,NA,71.5,62,NA,2,1,5745.999999999998,2760,4508,NA,2,1
2014,137,276,197,215,NA,NA,NA,0.020491803278688523,112,2940,164,47,209.8,310,117,NA,160,NA,NA,1,NA,5745.999999999998,2760,4508,NA,1,NA
2015,177,250,177,205,4,521.9856687476539,25,0.023372873419697206,174,2700,76,29,219,448,47,71,67,71,1,2,1,5745.999999999998,2760,4508,1,2,1
2016,109,303,213,291.40000000000003,NA,NA,NA,0.023188146291239536,135,1920,168,107,266.6,529,61,NA,138.5,NA,NA,2,NA,5745.999999999998,2760,4508,NA,2,NA
2017,91,306,299,321,2,539.9749758223691,24,0.022288261515601784,86,1140,220,174,389.3,950.5,46,NA,129,99,NA,11,4,5745.999999999998,2760,4508,NA,7,3
2018,145,293,235,273,NA,NA,NA,0.018633540372670808,101,3860,192,161,313,393,31,NA,180,NA,NA,2,NA,5745.999999999998,2760,4508,NA,2,NA
2019,98,322,307.5,322.3,3,629.987222273498,59,0.023744476389954944,169,2530,153,81,327,646,72,136,135,136,1,4,1,5745.999999999998,2760,4508,1,3,1
2020,140,294,221,229,NA,NA,NA,0.013422818791946308,60,636,234,180,297.9,365,54,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2021,93,287,201,205,NA,NA,NA,0.013005495279695646,118,624,169,101,230,254,68,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2022,126,298,186,197,NA,NA,NA,0.015954823828839577,209,1190,89,75,235.4,256,14,NA,NA,NA,NA,NA,NA,5745.999999999998,2760,4508,NA,NA,NA
2023,144,307,250,267.40000000000003,NA,NA,NA,0.02040816326530612,69,1130,238,180,260.20000000000005,677,58,NA,127,NA,NA,2,NA,5745.999999999998,2760,4508,NA,2,NA
2024,134,317,245,264.5,NA,NA,NA,0.015959927088779302,84,819,233,148,351.7,645.5,85,NA,141,NA,NA,1,NA,5745.999999999998,2760,4508,NA,1,NA
