Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1987,45,362,4140,5196,NA,NA,NA,0.02228500597276188,194,25900,168,88,6395,7875,80,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
1988,55,339,5850,6756,NA,NA,NA,0.022936423074900524,112,11900,227,186,4630,7635,41,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
1989,33,336,5980,7806,NA,NA,NA,0.035527316016695114,155,24400,181,153,5456,7690,28,NA,162,NA,NA,1,NA,30360,27100,29200,NA,1,NA
1990,138,377,4760,5553,NA,NA,NA,0.016605392156862745,130,14500,247,244,4816,6200,3,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
1991,255,210,4430,5210,NA,NA,NA,0.06095791001451379,29,23800,181,43,4222,10000,138,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
1992,197,220,3700,5578,NA,NA,NA,0.057867049258727876,47,27400,173,74,4833,9835,99,NA,156,NA,NA,3,NA,30360,27100,29200,NA,2,NA
1993,NA,287,NA,NA,5,5958.894907755238,31,0.05397483290392442,34,23400,253,202,5193,12900,51,NA,143,114,NA,10,1,30360,27100,29200,NA,3,1
1994,241,199,5660,8770,6,12499.84890416547,73,NA,NA,10600,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
1995,122,298,8885,10500,3,15599.660224278792,65,0.020491803278688523,80,25800,218,144,8545,24650,74,NA,138.5,102,NA,32,3,30360,27100,29200,NA,4,1
1996,37,387,5390,7258,NA,NA,NA,0.029850746268656716,238,28200,149,95,5578,17200,54,NA,143,NA,NA,11,NA,30360,27100,29200,NA,3,NA
1997,33,390,4620,5760,NA,NA,NA,0.021684159931454963,282,26700,108,71,5420,20800,37,95,115,93,1,16,4,30360,27100,29200,1,3,1
1998,58,336,9120,10830,NA,NA,NA,0.017341040462427744,85,25100,251,218,7366,20000,33,127,174,118,6,51,10,30360,27100,29200,1,3,2
1999,197,263,7100,8446.000000000002,NA,NA,NA,0.03347280334728033,82,24800,181,153,8566,19100,28,NA,140,NA,NA,10,NA,30360,27100,29200,NA,3,NA
2000,203,252,6870,9738,4,11399.926350409776,62,0.034482758620689655,90,29200,162,68,6784,23300,94,NA,135,148,NA,30,2,30360,27100,29200,NA,1,2
2001,64,327,6985,7790,NA,NA,NA,0.027208900652744443,167,27400,160,71,6140,8840,89,NA,156,NA,NA,1,NA,30360,27100,29200,NA,1,NA
2002,89,335,5900,7164,NA,NA,NA,0.03188516260162602,236,29200,99,74,4584,12000,25,NA,96,95,NA,5,1,30360,27100,29200,NA,2,1
2003,142,276,6405,9106,NA,NA,NA,0.03635044201081937,56,28900,220,162,6854.000000000002,16400,58,93,102,92,1,25,5,30360,27100,29200,1,6,3
2004,96,324,6990,8715,NA,NA,NA,0.02323702840295514,168,29000,156,104,6588.000000000001,16500,52,NA,115.5,145,NA,20,7,30360,27100,29200,NA,2,2
2005,93,321,7100,8108,NA,NA,NA,0.028527575166502648,85,30200,236,182,5561,11600,54,NA,174,231,NA,9,2,30360,27100,29200,NA,3,1
2006,119,281,8980,10020,NA,NA,NA,0.020834338075717385,82,29800,199,151,6440,26900,48,90,127,157,8,78,24,30360,27100,29200,1,5,5
2007,92,330,6185,7610,NA,NA,NA,0.02375005318922599,8,8830,322,288,5571,7515,34,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2008,107,382,5020,6290.000000000001,NA,NA,NA,0.02177293934681182,230,25200,152,96,5545,9325,56,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2009,90,372,4550,5961,6,7830.002911476904,35,0.02390438247011952,214,25600,158,51,4500,6690,107,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
