comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid
8019544,SP_Tim,158.825,199.729166666667,229.508333333333,242,251.055,model,predicted,11381500
8019544,Wet_BFL_Dur,72.2416666666666,108.841666666666,152.8875,181.5,202,model,predicted,11381500
8019544,Wet_BFL_Mag_10,58.523502796497,77.9195298763518,109.88724261445,160.683295676299,205.408544304636,model,predicted,11381500
8019544,Wet_BFL_Mag_50,172.592520865774,228.431405890308,314.593501228181,418.601955657938,515.792766648061,model,predicted,11381500
8019544,Wet_Tim,37.7683333333334,52.7,64,83.3708333333334,102.125,model,predicted,11381500
8020924,Peak_Dur_2,1,1,4,10,29,inferred,predicted,11383500
8020924,Peak_Dur_5,1,1,2,3,6,inferred,predicted,11383500
8020924,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11383500
8020924,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11383500
8020924,Peak_10,5358.16312968488,7887.8302869286,11517.577743856002,15973.0067654654,19553.6910753752,model,predicted,11383500
8020924,Peak_2,2166.2585684810997,4149.132674936,4692.0753071036,5374.49357993277,6638.150994498361,model,predicted,11383500
8020924,Peak_5,4418.27257454851,6594.06465748268,7894.59808256854,10972.4258451408,14227.6518300608,model,predicted,11383500
8020924,DS_Dur_WS,102.731666666666,126.075,153.9,180,210.705,model,predicted,11383500
8020924,DS_Mag_50,31.8012451453092,45.7156296232328,68.281221143205,91.6001960334359,112.160634529034,model,predicted,11383500
8020924,DS_Mag_90,56.1956763740462,77.0894553227005,106.073317719335,150.786002610749,200.813075190241,model,predicted,11383500
8020924,DS_Tim,258.983333333333,272.25,286.833333333333,301.075,317,model,predicted,11383500
8020924,FA_Mag,81.9406932122317,118.093090559461,192.514098474094,305.601241376786,566.52754967544,model,predicted,11383500
8020924,FA_Tim,6,12.8,23.5,29.25,44,model,predicted,11383500
8020924,SP_Dur,43.8608333333333,55.7083333333333,70.6041666666667,97.075,131.033333333334,model,predicted,11383500
8020924,SP_Mag,508.392319234714,744.909395318198,1255.44866200825,2127.73586881463,3352.5865863404,model,predicted,11383500
8020924,SP_Tim,159.99,192.59375,218.275,234.25,244.76,model,predicted,11383500
8020924,Wet_BFL_Dur,72.3625,108.7375,146.9,172.339583333334,192.476666666667,model,predicted,11383500
8020924,Wet_BFL_Mag_10,92.1246422047816,121.383320336306,160.440535003462,251.76015742282,317.255035312674,model,predicted,11383500
8020924,Wet_BFL_Mag_50,283.540901592354,374.841344076939,515.68394990567,693.734360276944,886.430963676256,model,predicted,11383500
8020924,Wet_Tim,47.5125,57.15625,70.025,96.175,126.49,model,predicted,11383500
1680009,Peak_Dur_2,1,1,3,7,16,inferred,predicted,11390000
1680009,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted,11390000
1680009,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11390000
1680009,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11390000
1680009,Peak_10,7035.11446389551,9325.30190243991,13165.2573036312,15974.6939118936,18746.2593674488,model,predicted,11390000
1680009,Peak_2,2314.84731266952,3445.02709283607,4743.07894174435,6575.82146027091,9223.57060256986,model,predicted,11390000
1680009,Peak_5,4893.50521067531,6476.971815362479,9304.74058849269,11579.5811179574,14270.9721865455,model,predicted,11390000
1680009,DS_Dur_WS,104.97,128.2,154.3,179.2625,204.52,model,predicted,11390000
1680009,DS_Mag_50,26.0602238142695,39.0165033757377,55.9713958695445,76.7939835075831,96.4584748452014,model,predicted,11390000
1680009,DS_Mag_90,42.8410339380617,61.0117797999413,84.2282331526369,118.874132417482,166.250684635215,model,predicted,11390000
1680009,DS_Tim,242,261.364583333333,276.175,293.875,314.1375,model,predicted,11390000
1680009,FA_Mag,61.3240240665828,94.4838168441386,160.53710413061,289.581245014736,524.853241931848,model,predicted,11390000
1680009,FA_Tim,6.4175,12.875,23.2,28.28125,41.2133333333334,model,predicted,11390000
1680009,SP_Dur,38,51,72.6166666666666,108.10625,137.446666666666,model,predicted,11390000
1680009,SP_Mag,400.675516918274,662.64136938242,1172.87050423128,2107.81754990827,3573.47441216239,model,predicted,11390000
1680009,SP_Tim,151.721666666667,185.46875,203.75,226.510416666667,240.45,model,predicted,11390000
1680009,Wet_BFL_Dur,72.99,109.46875,146.5,168.4125,191.175,model,predicted,11390000
1680009,Wet_BFL_Mag_10,77.4233429366881,106.851546573677,154.47632519808,217.646700916852,289.343334385236,model,predicted,11390000
1680009,Wet_BFL_Mag_50,270.162885874326,369.147818492118,481.184216332826,620.334690120604,753.395118552431,model,predicted,11390000
1680009,Wet_Tim,44.875,54,65.2,79.6354166666667,96.5125,model,predicted,11390000
2851625,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted,11390500
2851625,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted,11390500
2851625,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11390500
2851625,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11390500
2851625,Peak_10,182740.530999666,223064.57654682695,268873.19793147896,415755.64795956,552105.665804158,model,predicted,11390500
2851625,Peak_2,70585.2642030052,101996.778063007,142291.787962117,169539.945040349,259970.523623023,model,predicted,11390500
2851625,Peak_5,133307.798495078,177230.265529321,211026.878112826,298042.531160962,442469.847170525,model,predicted,11390500
2851625,DS_Dur_WS,90,111.514583333333,141.7125,175.989583333333,206.87,model,predicted,11390500
2851625,DS_Mag_50,169.605433954218,438.29792204639,1155.86840923681,2675.99576506497,3682.16103746644,model,predicted,11390500
2851625,DS_Mag_90,1006.38679579949,1732.92098453473,3043.06666965293,5069.14046311364,8579.31190639826,model,predicted,11390500
2851625,DS_Tim,253.575,269.6875,290.775,308.125,324.845,model,predicted,11390500
2851625,FA_Mag,2013.28645726593,3816.61382813485,7641.72247383512,14526.6622599186,29632.8356485099,model,predicted,11390500
2851625,FA_Tim,5,11.2,24,36.525,46.11,model,predicted,11390500
2851625,SP_Dur,34,45.6583333333333,67.0625,99.9666666666666,135.029166666666,model,predicted,11390500
2851625,SP_Mag,15168.2457094385,24735.4699978668,46414.3793671615,78997.1130791077,148003.884899126,model,predicted,11390500
2851625,SP_Tim,152,177.520833333333,203.333333333333,227.2625,239.175,model,predicted,11390500
2851625,Wet_BFL_Dur,68.795,94.6166666666666,130.25,162.11875,186.02,model,predicted,11390500
2851625,Wet_BFL_Mag_10,1689.47763428556,2862.70745968179,4422.11312315286,6389.59290302498,9640.3963190937,model,predicted,11390500
2851625,Wet_BFL_Mag_50,6403.03735486562,8447.47477156515,11323.192115096,16324.4426051004,23178.6753763076,model,predicted,11390500
2851625,Wet_Tim,39.75,52,69,94.0875,112.0125,model,predicted,11390500
7968461,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted,11407000
7968461,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted,11407000
7968461,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11407000
7968461,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11407000
7968461,Peak_10,68412.65630150691,101344.852358508,110227.513312929,117769.375294291,132970.090765956,model,predicted,11407000
7968461,Peak_2,32688.6848240302,42109.494258449,46862.383642683606,47990.2873637423,51872.5429207841,model,predicted,11407000
7968461,Peak_5,49166.068812752696,65455.6659098497,72684.0387846401,74555.42465909901,87155.67807095259,model,predicted,11407000
7968461,DS_Dur_WS,77.42,104.5625,125.725,156,177.54,model,predicted,11407000
7968461,DS_Mag_50,830.873494857532,1036.14708720784,1188.64569839031,1306.91277338506,1445.9420223588,model,predicted,11407000
