Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,gageid
2004,65,354,125,192,4,225.99376320723093,39,0.0260655459330956,202,2490,152,95,257.6,454,57,NA,139,140,NA,2,1,7681,3270,5578,NA,1,1,11390000
2005,135,288,155,218.2,6,277.9868492331009,19,0.03303303303303303,54,3020,234,181,168,443,53,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2006,139,276,184,232.2,3,274.9962770305232,34,0.03896103896103896,75,3900,201,144,274.7,1200,57,91,156,91,1,14,3,7681,3270,5578,1,9,3,11390000
2007,135,303,105,120,NA,NA,NA,0.0196078431372549,69,240,234,185,163.4,262,49,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2008,138,357,116,176.3,NA,NA,NA,0.01838987255273635,125,310,232,160,202.8,286,72,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2009,175,279,107,149.2,4,309.98768698671466,32,0.02249747219413549,59,1350,220,91,260,411,129,NA,148.5,145,NA,4,1,7681,3270,5578,NA,2,1,11390000
2010,103,310,136,153,7,333.979592529105,13,0.02285714285714285,59,575,251,163,319.3999999999999,536,88,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2011,174,344,135.5,186.2000000000001,3,666.9396525904573,23,0.01607717041800643,87,815,257,210,295.6,765.5,47,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2012,125,284,111,132.60000000000002,2,281.0250205220585,4,0.02510460251046025,56,428,228,76,192,549.5,152,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2013,229,254,105,128,NA,NA,NA,0.02765035677879714,64,514,190,147,292.2,369,43,62,61,62,1,2,1,7681,3270,5578,1,2,1,11390000
2014,80,333,75.4,93.28000000000004,8,188.98025827399547,50,0.03174603174603174,149,1210,184,67,102.6,268,117,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2015,101,358,80.5,269,3,145.99578648556272,25,0.02517856388149275,223,1160,135,88,112.4,186,47,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2016,173,239,130,218.8,2,138.98562541054218,39,0.04938271604938271,71,4640,168,75,342.4,508,93,NA,160.5,NA,NA,3,NA,7681,3270,5578,NA,2,NA,11390000
2017,247,265,182,291.4,4,215.997138004218,13,0.04247104247104247,63,1420,202,156,312.5,1060,46,131,120.5,115,1,13,7,7681,3270,5578,1,4,4,11390000
2018,203,257,121,197.6,3,283.9991323521663,34,0.03162055335968379,64,1680,193,47,241.8,647,146,NA,172,NA,NA,1,NA,7681,3270,5578,NA,1,NA,11390000
2019,118,301,141,204.3,9,416.99748170972873,53,0.02134146341463414,58,938,243,149,508,836,94,NA,148,NA,NA,4,NA,7681,3270,5578,NA,3,NA,11390000
2020,82,349,80.3,96.75,NA,NA,NA,0.01595092024539873,114,413,235,182,174.2,211.5,53,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2021,35,344,69.2,74.7,5,131.9853643826613,44,0.01327433628318587,87,141,257,192,98.17,143.5,65,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2022,104,343,82.65,180.3,NA,NA,NA,0.01731634182908546,92,252,251,238,132.7,259,13,NA,NA,NA,NA,NA,NA,7681,3270,5578,NA,NA,NA,11390000
2023,165,287,134,187.6,3,117.99715131279422,32,0.03735632183908046,55,1030,232,151,328,883,81,NA,164,NA,NA,2,NA,7681,3270,5578,NA,1,NA,11390000
2024,169,283,135,179.20000000000002,2,318.9927019858667,49,0.02166064981949458,61,724,222,136,240,720.5,86,NA,142,NA,NA,1,NA,7681,3270,5578,NA,1,NA,11390000
1987,45,362,4140,5196,NA,NA,NA,0.02228500597276188,194,25900,168,88,6395,7875,80,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1988,55,339,5850,6756,NA,NA,NA,0.02293642307490052,112,11900,227,186,4630,7635,41,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1989,33,336,5980,7806,NA,NA,NA,0.03552731601669511,155,24400,181,153,5456,7690,28,NA,162,NA,NA,1,NA,30360,27100,29200,NA,1,NA,11390500
1990,138,377,4760,5553,NA,NA,NA,0.01660539215686274,130,14500,247,244,4816,6200,3,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1991,255,210,4430,5210,NA,NA,NA,0.06095791001451379,29,23800,181,43,4222,10000,138,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1992,197,220,3700,5578,NA,NA,NA,0.05786704925872787,47,27400,173,74,4833,9835,99,NA,156,NA,NA,3,NA,30360,27100,29200,NA,2,NA,11390500
1993,NA,287,NA,NA,5,5958.894907755238,31,0.05397483290392442,34,23400,253,202,5193,12900,51,NA,143,114,NA,10,1,30360,27100,29200,NA,3,1,11390500
1994,241,199,5660,8770,6,12499.84890416547,73,NA,NA,10600,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1995,122,298,8885,10500,3,15599.660224278792,65,0.02049180327868852,80,25800,218,144,8545,24650,74,NA,138.5,102,NA,32,3,30360,27100,29200,NA,4,1,11390500
1996,37,387,5390,7258,NA,NA,NA,0.02985074626865671,238,28200,149,95,5578,17200,54,NA,143,NA,NA,11,NA,30360,27100,29200,NA,3,NA,11390500
1997,33,390,4620,5760,NA,NA,NA,0.02168415993145496,282,26700,108,71,5420,20800,37,95,115,93,1,16,4,30360,27100,29200,1,3,1,11390500
1998,58,336,9120,10830,NA,NA,NA,0.01734104046242774,85,25100,251,218,7366,20000,33,127,174,118,6,51,10,30360,27100,29200,1,3,2,11390500
1999,197,263,7100,8446.000000000002,NA,NA,NA,0.03347280334728033,82,24800,181,153,8566,19100,28,NA,140,NA,NA,10,NA,30360,27100,29200,NA,3,NA,11390500
2000,203,252,6870,9738,4,11399.926350409776,62,0.03448275862068965,90,29200,162,68,6784,23300,94,NA,135,148,NA,30,2,30360,27100,29200,NA,1,2,11390500
2001,64,327,6985,7790,NA,NA,NA,0.02720890065274444,167,27400,160,71,6140,8840,89,NA,156,NA,NA,1,NA,30360,27100,29200,NA,1,NA,11390500
2002,89,335,5900,7164,NA,NA,NA,0.03188516260162602,236,29200,99,74,4584,12000,25,NA,96,95,NA,5,1,30360,27100,29200,NA,2,1,11390500
2003,142,276,6405,9106,NA,NA,NA,0.03635044201081937,56,28900,220,162,6854.000000000002,16400,58,93,102,92,1,25,5,30360,27100,29200,1,6,3,11390500
2004,96,324,6990,8715,NA,NA,NA,0.02323702840295514,168,29000,156,104,6588.000000000001,16500,52,NA,115.5,145,NA,20,7,30360,27100,29200,NA,2,2,11390500
2005,93,321,7100,8108,NA,NA,NA,0.02852757516650264,85,30200,236,182,5561,11600,54,NA,174,231,NA,9,2,30360,27100,29200,NA,3,1,11390500
2006,119,281,8980,10020,NA,NA,NA,0.02083433807571738,82,29800,199,151,6440,26900,48,90,127,157,8,78,24,30360,27100,29200,1,5,5,11390500
2007,92,330,6185,7610,NA,NA,NA,0.02375005318922599,8,8830,322,288,5571,7515,34,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2008,107,382,5020,6290.000000000001,NA,NA,NA,0.02177293934681182,230,25200,152,96,5545,9325,56,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2009,90,372,4550,5961,6,7830.002911476904,35,0.02390438247011952,214,25600,158,51,4500,6690,107,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2010,85,327,6120,7140,NA,NA,NA,0.02762573707014283,75,14900,252,162,7087,12300,90,NA,115.5,NA,NA,2,NA,30360,27100,29200,NA,2,NA,11390500
2011,NA,299,NA,NA,5,10199.70099177989,25,0.03738317757009345,115,27300,184,138,6844,13900,46,NA,171,NA,NA,14,NA,30360,27100,29200,NA,1,NA,11390500
2012,38,384,5335,5913,NA,NA,NA,0.01893968632034727,183,16700,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2013,142,338,4625,6488,NA,NA,NA,0.02592087312414734,249,26900,89,51,4290,10600,38,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2014,19,380,3840,4460,NA,NA,NA,0.02148428485715604,195,14200,185,71,3690,5590,114,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2015,242,180,4115,5889,NA,NA,NA,0.02801120448179271,41,17300,139,120,4470,6115,19,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2016,187,221,5080,7840,NA,NA,NA,0.0511303620958243,43,25900,178,122,4673,10030,56,NA,165,NA,NA,2,NA,30360,27100,29200,NA,1,NA,11390500
2017,171,279,6230,8070,6,11399.905147167072,33,0.02644454799627213,99,23400,180,138,7369,22450,42,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2018,212,223,6355,7379,3,10199.892582397304,48,0.04864236274283347,29,24200,194,110,4860,7165,84,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2019,NA,274,NA,NA,3,10998.383631186834,61,0.03526093088857546,78,26700,196,127,5904,22600,69,NA,154,NA,NA,10,NA,30360,27100,29200,NA,4,NA,11390500
2020,82,391,4200,5148,2,13899.391696852288,69,0.01708536045997346,152,8090,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2021,114,255,5260,5720,NA,NA,NA,0.02755009107468124,80,8720,175,93,4510,5110,82,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2022,284,156,3355,4387,NA,NA,NA,0.02035168310866782,65,19100,91,88,4190,6070,3,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
2023,155,273,5230,6650,7,6519.975767313599,67,0.03592943201376936,97,25000,176,102,4150.000000000001,12050,74,NA,104,NA,NA,5,NA,30360,27100,29200,NA,1,NA,11390500
2024,194,234,6840,7780,NA,NA,NA,0.03494542603871434,85,26600,149,87,4672,15200,62,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA,11390500
1987,99,325,453,483,NA,NA,NA,0.01094091903719912,18,764,307,62,433.2,537,245,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1988,282,324,640,651,NA,NA,NA,0.00470219435736677,145,697,179,121,460,576,58,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1989,97,289,618,627.4,NA,NA,NA,0.00632911392405063,19,2540,270,30,619,622,240,NA,262,NA,NA,5,NA,43919.99999999995,2330,17780,NA,1,NA,11407000
1990,56,333,614,620.5,NA,NA,NA,0.0086620627980922,125,681,208,188,627,639,20,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1991,296,326,622,631,NA,NA,NA,0.0062373903108972,146,658,180,157,614,624,23,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1992,209,308,616,631,NA,NA,NA,0.00638977635782747,21,1020,287,31,615,632,256,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1993,196,201,614,624,NA,NA,NA,0.00630914826498422,21,23200,180,29,613,619,151,NA,173,174,NA,7,5,43919.99999999995,2330,17780,NA,1,1,11407000
1994,237,267,619,643,NA,NA,NA,0.00703767492983179,34,667,233,202,617,624,31,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
1995,240,238,666,1590,NA,NA,NA,0.02917526338346839,69,52800,169,31,625,630,138,187.5,189,186,6,33,16,43919.99999999995,2330,17780,2,3,2,11407000
1996,168,255,630.5,1620,5,1599.997468191443,3,0.0032626427406199,107,30200,148,36,611.5,640,112,NA,187,143,NA,21,4,43919.99999999995,2330,17780,NA,4,1,11407000
1997,320,149,636,933,3,1640.0017567939583,16,0.17563739376770535,51,94800,98,41,1610,1680,57,91,102.5,88,8,46,14,43919.99999999995,2330,17780,1,4,1,11407000
1998,281,202,627,640,2,966.9951455182468,37,0.01259359011559417,18,10200,184,81,632,944,103,NA,150,NA,NA,19,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
1999,NA,178,NA,NA,NA,NA,NA,0.01255888134713104,31,8040,147,30,622.9,628.5,117,NA,147.5,NA,NA,8,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
2000,442,185,628,638,NA,NA,NA,0.00628930817610062,25,659,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2001,275,343,625,636,NA,NA,NA,0.00718390804597701,28,745,315,54,628,693,261,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2002,288,353,631,640,NA,NA,NA,0.00631911532385466,20,1750,333,81,621,708,252,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2003,126,340,628,638.5,NA,NA,NA,0.00314220126872855,22,767,318,43,623,747,275,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2004,438,177,635,674.9000000000001,NA,NA,NA,0.03757031658817373,21,2040,156,56,621.5,629,100,NA,149,NA,NA,2,NA,43919.99999999995,2330,17780,NA,1,NA,11407000
2005,102,328,637,688,NA,NA,NA,0.01121909026152437,26,843,302,53,628.2,671,249,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2006,NA,223,NA,NA,NA,NA,NA,0.00909090909090909,127,64500,96,32,659,681,64,91,150,120,4,50,10,43919.99999999995,2330,17780,1,3,2,11407000
2007,271,340,652,673,NA,NA,NA,0.02404246156204975,42,1020,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2008,NA,348,NA,NA,NA,NA,NA,NA,NA,1090,362,117,663,697,245,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2009,39,339,672,680,NA,NA,NA,0.0044709388971684,34,1220,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2010,456,55,689,738,NA,NA,NA,0.003047620373464,18,2140,37,25,672,677,12,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2011,321,282,706,749,NA,NA,NA,0.00630910165484633,105,16800,177,32,715.1,726,145,NA,214.5,169,NA,24,2,43919.99999999995,2330,17780,NA,2,1,11407000
2012,54,346,671,687.7,NA,NA,NA,0.02752293577981651,78,5170,268,31,683,689,237,NA,258,NA,NA,11,NA,43919.99999999995,2330,17780,NA,1,NA,11407000
2013,NA,346,NA,NA,NA,NA,NA,0.06700040453074434,20,2640,326,292,984.1,1830,34,NA,164.5,NA,NA,60,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
2014,218,345,958,977,NA,NA,NA,0.06593406593406594,39,1820,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2015,224,346,829,844.7,NA,NA,NA,0.01162790697674418,49,2330,297,100,1290,1810,197,NA,293,NA,NA,1,NA,43919.99999999995,2330,17780,NA,1,NA,11407000
2016,105,350,850,865.6,NA,NA,NA,0.05846153846153846,42,4150,308,104,950.1000000000004,1910,204,NA,220,NA,NA,64,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
2017,258,272,1060,1590,NA,NA,NA,0.0671724889055058,130,93500,142,53,859,7040,89,132,158,167,17,154,57,43919.99999999995,2330,17780,1,3,5,11407000
2018,165,346,910,992.6,NA,NA,NA,0.01036286259744392,153,4890,193,29,851.4,860,164,NA,185,NA,NA,10,NA,43919.99999999995,2330,17780,NA,1,NA,11407000
2019,178,355,767,795,NA,NA,NA,0.01653944020356234,36,4250,319,174,1003.9,2610,145,NA,234.5,NA,NA,120,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
2020,240,352,827,849.1,NA,NA,NA,0.0120918984280532,40,1590,312,145,703.6,804,167,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2021,278,323,656,676,NA,NA,NA,0.04365079365079365,26,2850,297,71,698,1610,226,NA,272.5,NA,NA,20,NA,43919.99999999995,2330,17780,NA,2,NA,11407000
2022,145,363,681,689,NA,NA,NA,0.00899406921172338,66,1610,297,62,650,1090,235,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA,11407000
2023,169,339,680,689,NA,NA,NA,0.12898936170212766,86,8040,253,111,691,3020,142,NA,225,167,NA,75,4,43919.99999999995,2330,17780,NA,5,1,11407000
1987,76,359,471,606,5,1839.9927323017123,0,0.02350593517526741,28,1050,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1988,313,192,474,1070,4,749.0296109144198,62,NA,NA,1130,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1989,NA,225,NA,NA,2,6439.7066481048005,53,0.03007518796992481,46,22000,179,40,678.4,5005,139,NA,167.5,NA,NA,4,NA,39060.00000000003,12400,29440.000000000004,NA,2,NA,11421000
1990,NA,293,NA,NA,NA,NA,NA,0.02972972972972973,39,1280,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1991,NA,216,NA,NA,5,1060.0001371302212,2,0.04086846983885535,36,4120,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1992,156,289,414.5,469.5,3,2110.0001236422427,3,0.03234945774598825,143,4260,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1993,NA,357,NA,NA,6,3159.879210322127,71,0.02307692307692307,105,6390,252,173,2214,4410,79,NA,113,NA,NA,1,NA,39060.00000000003,12400,29440.000000000004,NA,1,NA,11421000
1994,160,287,449,632.5,6,1369.9852824304962,8,0.03355704697986577,209,1800,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
1995,155,307,964,1656,7,672.9537960544426,36,0.06274509803921569,88,14300,219,138,1002.3000000000002,5805,81,NA,157.5,186.5,NA,27,3,39060.00000000003,12400,29440.000000000004,NA,4,2,11421000
1996,150,269,1180,1760,5,4349.963919542504,73,0.060180995475113117,34,27000,235,139,3376,4770,96,NA,187.5,230,NA,14,1,39060.00000000003,12400,29440.000000000004,NA,4,1,11421000
1997,102,347,877,1289,NA,NA,NA,0.03620967081101617,249,90200,98,45,1003.4,4080,53,91,100,90,6,23,8,39060.00000000003,12400,29440.000000000004,1,2,1,11421000
1998,102,296,1210,2679,2,1110.02337498643,13,0.04941176470588235,35,10700,261,178,2596.999999999999,5750,83,NA,134.5,NA,NA,7,NA,39060.00000000003,12400,29440.000000000004,NA,4,NA,11421000
1999,112,349,766,1119,NA,NA,NA,0.01716738197424892,192,12200,157,125,1564,2590,32,NA,126.5,NA,NA,5,NA,39060.00000000003,12400,29440.000000000004,NA,4,NA,11421000
2000,NA,266,NA,NA,NA,NA,NA,0.02739994712739739,106,11100,160,65,793.4,2570,95,NA,142.5,NA,NA,3,NA,39060.00000000003,12400,29440.000000000004,NA,2,NA,11421000
2001,63,348,441,525.8,NA,NA,NA,0.07207425496400326,23,1590,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2002,77,346,459,517.2,NA,NA,NA,0.01469638242894056,168,4100,178,133,475.2,1630,45,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2003,77,344,567,609.6,NA,NA,NA,0.03442171518489378,98,5660,246,189,1174,2190,57,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2004,266,259,915,1560,NA,NA,NA,0.01986754966887417,106,7380,153,98,608.2,1945,55,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2005,118,310,750,945.6,4,2220.007362509618,69,0.03161060142711519,73,18600,237,78,962.4,2610,159,231,230,230,1,5,3,39060.00000000003,12400,29440.000000000004,1,1,1,11421000
2006,145,279,539,1650,2,946.9991236031468,38,0.04504504504504504,64,21500,215,153,2228.000000000001,5970,62,91,175,138,3,37,5,39060.00000000003,12400,29440.000000000004,1,7,2,11421000
2007,234,198,717,1010,NA,NA,NA,0.01418439716312056,45,4470,153,95,574.4,1050,58,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2008,122,352,552.5,635.8,NA,NA,NA,0.01349527665317139,201,4600,151,85,563.4,990,66,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2009,107,351,568,758,NA,NA,NA,0.02688172043010752,123,3760,228,120,677.6,1165,108,NA,216,NA,NA,1,NA,39060.00000000003,12400,29440.000000000004,NA,1,NA,11421000
2010,67,346,749,819.8,NA,NA,NA,0.02616904715319898,88,5310,258,166,826.5,1495,92,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2011,165,345,649,786,2,2709.956995004695,24,0.0293927545228237,73,9080,272,225,1384,4970,47,NA,166,NA,NA,13,NA,39060.00000000003,12400,29440.000000000004,NA,5,NA,11421000
2012,63,342,703,891,NA,NA,NA,0.0228370006408887,129,11600,213,69,697.6,3240,144,NA,167,NA,NA,2,NA,39060.00000000003,12400,29440.000000000004,NA,1,NA,11421000
2013,132,342,543.5,604,NA,NA,NA,0.01523851195685174,272,6230,70,31,550,694,39,NA,61,NA,NA,3,NA,39060.00000000003,12400,29440.000000000004,NA,1,NA,11421000
2014,36,351,428,446,5,856.9992531543442,30,0.03619909502262444,24,864,327,219,538.8,657,108,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2015,209,250,393,526.4000000000001,NA,NA,NA,0.01584786053882726,111,919,139,118,508.1,587.5,21,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2016,164,253,672.5,1547.0000000000002,NA,NA,NA,0.03567234814788457,82,13900,171,78,695.7,1155,93,NA,162,165,NA,9,1,39060.00000000003,12400,29440.000000000004,NA,3,1,11421000
2017,185,320,814,1633.9999999999995,NA,NA,NA,0.04620909186572661,182,37100,138,87,934.2,7160,51,114.5,141.5,129,9,54,12,39060.00000000003,12400,29440.000000000004,2,10,3,11421000
2018,198,253,770.5,1467.000000000001,5,4617.288814847304,47,0.0326797385620915,61,30300,192,53,993.2,5140,139,NA,178.5,180,NA,7,2,39060.00000000003,12400,29440.000000000004,NA,2,2,11421000
2019,115,295,815,1842,NA,NA,NA,0.04691307510456447,43,7830,252,167,1274.0000000000002,5880,85,NA,148,NA,NA,8,NA,39060.00000000003,12400,29440.000000000004,NA,3,NA,11421000
2020,114,355,560.5,617.8,NA,NA,NA,0.08397413724290237,26,2310,329,285,809,1050,44,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2021,123,245,431,445.8,5,909.9983849734502,16,0.03416856492027335,25,967,220,117,538.2,747,103,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2022,69,380,544,676.4,NA,NA,NA,0.01869158878504672,290,4990,90,88,420,481.5,2,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
2023,97,342,539,672.8,4,1289.9693464364168,64,0.04383857794859476,103,10700,239,170,1482.000000000001,5795,69,NA,137.5,NA,NA,13,NA,39060.00000000003,12400,29440.000000000004,NA,4,NA,11421000
2024,141,298,574,1350,NA,NA,NA,0.02162414891440928,61,6430,237,164,851,3165,73,NA,NA,NA,NA,NA,NA,39060.00000000003,12400,29440.000000000004,NA,NA,NA,11421000
